id,course_id,code,description,bloom_level
co-00045,subj-0009,22CH1201.CO4,Summarize engineering chemistry concepts and techniques,Understand
co-00046,subj-0009,22CH1201.CO5,Implement engineering chemistry concepts and techniques,Apply
co-00047,subj-0010,22EE1201.CO1,Describe basic electrical engineering concepts and techniques,Understand
co-00048,subj-0010,22EE1201.CO2,Demonstrate basic electrical engineering concepts and techniques,Apply
co-00049,subj-0010,22EE1201.CO3,Explain basic electrical engineering concepts and techniques,Understand
co-00050,subj-0010,22EE1201.CO4,List basic electrical engineering concepts and techniques,Remember
co-00051,subj-0010,22EE1201.CO5,Describe basic electrical engineering concepts and techniques,Understand
co-00052,subj-0010,22EE1201.CO6,Classify basic electrical engineering concepts and techniques,Understand
co-00053,subj-0011,22EE1202.CO1,Assess basic electrical engineering lab concepts and techniques,Evaluate
co-00054,subj-0011,22EE1202.CO2,Solve basic electrical engineering lab concepts and techniques,Apply
co-00055,subj-0011,22EE1202.CO3,Implement basic electrical engineering lab concepts and techniques,Apply
co-00056,subj-0011,22EE1202.CO4,State basic electrical engineering lab concepts and techniques,Remember
co-00057,subj-0012,22EN1201.CO1,State english - ii concepts and techniques,Remember
co-00058,subj-0012,22EN1201.CO2,Apply english - ii concepts and techniques,Apply
co-00059,subj-0012,22EN1201.CO3,Formulate english - ii concepts and techniques,Create
co-00060,subj-0012,22EN1201.CO4,Implement english - ii concepts and techniques,Apply
co-00061,subj-0012,22EN1201.CO5,Interpret english - ii concepts and techniques,Understand
co-00062,subj-0013,22CS1201.CO1,State data structures concepts and techniques,Remember
co-00063,subj-0013,22CS1201.CO2,List data structures concepts and techniques,Remember
co-00064,subj-0013,22CS1201.CO3,Judge data structures concepts and techniques,Evaluate
co-00065,subj-0013,22CS1201.CO4,Implement data structures concepts and techniques,Apply
co-00066,subj-0013,22CS1201.CO5,Differentiate data structures concepts and techniques,Analyze
co-00067,subj-0013,22CS1201.CO6,Demonstrate data structures concepts and techniques,Apply
co-00068,subj-0014,22CS1202.CO1,Interpret data structures lab concepts and techniques,Understand
co-00069,subj-0014,22CS1202.CO2,State data structures lab concepts and techniques,Remember
co-00070,subj-0014,22CS1202.CO3,Describe data structures lab concepts and techniques,Understand
co-00071,subj-0014,22CS1202.CO4,Define data structures lab concepts and techniques,Remember
co-00072,subj-0014,22CS1202.CO5,Demonstrate data structures lab concepts and techniques,Apply
co-00073,subj-0015,22CH1202.CO1,Solve engineering chemistry lab concepts and techniques,Apply
co-00074,subj-0015,22CH1202.CO2,Summarize engineering chemistry lab concepts and techniques,Understand
co-00075,subj-0015,22CH1202.CO3,Differentiate engineering chemistry lab concepts and techniques,Analyze
co-00076,subj-0015,22CH1202.CO4,Critique engineering chemistry lab concepts and techniques,Evaluate
co-00077,subj-0016,22CS3101.CO1,Evaluate discrete mathematics concepts and techniques,Evaluate
co-00078,subj-0016,22CS3101.CO2,Judge discrete mathematics concepts and techniques,Evaluate
co-00079,subj-0016,22CS3101.CO3,Solve discrete mathematics concepts and techniques,Apply
co-00080,subj-0016,22CS3101.CO4,Recall discrete mathematics concepts and techniques,Remember
co-00081,subj-0016,22CS3101.CO5,Interpret discrete mathematics concepts and techniques,Understand
co-00082,subj-0017,22CS3102.CO1,Design object-oriented programming (java) concepts and techniques,Create
co-00083,subj-0017,22CS3102.CO2,Distinguish object-oriented programming (java) concepts and techniques,Analyze
co-00084,subj-0017,22CS3102.CO3,Apply object-oriented programming (java) concepts and techniques,Apply
co-00085,subj-0017,22CS3102.CO4,Identify object-oriented programming (java) concepts and techniques,Remember
co-00086,subj-0017,22CS3102.CO5,Critique object-oriented programming (java) concepts and techniques,Evaluate
co-00087,subj-0018,22CS3103.CO1,Evaluate digital logic design concepts and techniques,Evaluate
co-00088,subj-0018,22CS3103.CO2,Propose digital logic design concepts and techniques,Create
co-00089,subj-0018,22CS3103.CO3,Apply digital logic design concepts and techniques,Apply
co-00090,subj-0018,22CS3103.CO4,Implement digital logic design concepts and techniques,Apply
co-00091,subj-0018,22CS3103.CO5,Interpret digital logic design concepts and techniques,Understand
co-00092,subj-0018,22CS3103.CO6,Explain digital logic design concepts and techniques,Understand
co-00093,subj-0019,22CS3104.CO1,Interpret computer organization concepts and techniques,Understand
co-00094,subj-0019,22CS3104.CO2,Implement computer organization concepts and techniques,Apply
co-00095,subj-0019,22CS3104.CO3,Solve computer organization concepts and techniques,Apply
co-00096,subj-0019,22CS3104.CO4,Define computer organization concepts and techniques,Remember
co-00097,subj-0019,22CS3104.CO5,Demonstrate computer organization concepts and techniques,Apply
co-00098,subj-0019,22CS3104.CO6,Formulate computer organization concepts and techniques,Create
co-00099,subj-0020,22CS3105.CO1,Apply oop lab concepts and techniques,Apply
co-00100,subj-0020,22CS3105.CO2,Solve oop lab concepts and techniques,Apply
co-00101,subj-0020,22CS3105.CO3,Design oop lab concepts and techniques,Create
co-00102,subj-0020,22CS3105.CO4,Implement oop lab concepts and techniques,Apply
co-00103,subj-0020,22CS3105.CO5,Identify oop lab concepts and techniques,Remember
co-00104,subj-0021,22CS3106.CO1,Classify digital logic lab concepts and techniques,Understand
co-00105,subj-0021,22CS3106.CO2,Assess digital logic lab concepts and techniques,Evaluate
co-00106,subj-0021,22CS3106.CO3,Analyze digital logic lab concepts and techniques,Analyze
co-00107,subj-0021,22CS3106.CO4,Implement digital logic lab concepts and techniques,Apply
co-00108,subj-0022,22HS3101.CO1,Analyze managerial economics & financial analysis concepts and techniques,Analyze
co-00109,subj-0022,22HS3101.CO2,List managerial economics & financial analysis concepts and techniques,Remember
co-00110,subj-0022,22HS3101.CO3,Judge managerial economics & financial analysis concepts and techniques,Evaluate
co-00111,subj-0022,22HS3101.CO4,Propose managerial economics & financial analysis concepts and techniques,Create
co-00112,subj-0022,22HS3101.CO5,Apply managerial economics & financial analysis concepts and techniques,Apply
co-00113,subj-0022,22HS3101.CO6,Compare managerial economics & financial analysis concepts and techniques,Analyze
co-00114,subj-0023,22CS4101.CO1,List operating systems concepts and techniques,Remember
co-00115,subj-0023,22CS4101.CO2,Explain operating systems concepts and techniques,Understand
co-00116,subj-0023,22CS4101.CO3,Justify operating systems concepts and techniques,Evaluate
co-00117,subj-0023,22CS4101.CO4,Summarize operating systems concepts and techniques,Understand
co-00118,subj-0023,22CS4101.CO5,Demonstrate operating systems concepts and techniques,Apply
co-00119,subj-0023,22CS4101.CO6,Examine operating systems concepts and techniques,Analyze
co-00120,subj-0024,22CS4102.CO1,Formulate database management systems concepts and techniques,Create
co-00121,subj-0024,22CS4102.CO2,Analyze database management systems concepts and techniques,Analyze
co-00122,subj-0024,22CS4102.CO3,Solve database management systems concepts and techniques,Apply
co-00123,subj-0024,22CS4102.CO4,Assess database management systems concepts and techniques,Evaluate
co-00124,subj-0024,22CS4102.CO5,Compare database management systems concepts and techniques,Analyze
co-00125,subj-0024,22CS4102.CO6,Distinguish database management systems concepts and techniques,Analyze
co-00126,subj-0025,22CS4103.CO1,Distinguish design & analysis of algorithms concepts and techniques,Analyze
co-00127,subj-0025,22CS4103.CO2,Apply design & analysis of algorithms concepts and techniques,Apply
co-00128,subj-0025,22CS4103.CO3,Use design & analysis of algorithms concepts and techniques,Apply
co-00129,subj-0025,22CS4103.CO4,Summarize design & analysis of algorithms concepts and techniques,Understand
co-00130,subj-0025,22CS4103.CO5,Demonstrate design & analysis of algorithms concepts and techniques,Apply
co-00131,subj-0025,22CS4103.CO6,Explain design & analysis of algorithms concepts and techniques,Understand
co-00132,subj-0026,22CS4104.CO1,State software engineering concepts and techniques,Remember
co-00133,subj-0026,22CS4104.CO2,Use software engineering concepts and techniques,Apply
co-00134,subj-0026,22CS4104.CO3,Classify software engineering concepts and techniques,Understand
co-00135,subj-0026,22CS4104.CO4,Analyze software engineering concepts and techniques,Analyze
co-00136,subj-0026,22CS4104.CO5,Explain software engineering concepts and techniques,Understand
co-00137,subj-0026,22CS4104.CO6,Solve software engineering concepts and techniques,Apply
co-00138,subj-0027,22CS4105.CO1,Implement os & dbms lab concepts and techniques,Apply
co-00139,subj-0027,22CS4105.CO2,Formulate os & dbms lab concepts and techniques,Create
co-00140,subj-0027,22CS4105.CO3,Compare os & dbms lab concepts and techniques,Analyze
co-00141,subj-0027,22CS4105.CO4,Examine os & dbms lab concepts and techniques,Analyze
co-00142,subj-0027,22CS4105.CO5,Solve os & dbms lab concepts and techniques,Apply
co-00143,subj-0028,22CS4106.CO1,Summarize python programming lab concepts and techniques,Understand
co-00144,subj-0028,22CS4106.CO2,Evaluate python programming lab concepts and techniques,Evaluate
co-00145,subj-0028,22CS4106.CO3,Classify python programming lab concepts and techniques,Understand
co-00146,subj-0028,22CS4106.CO4,Summarize python programming lab concepts and techniques,Understand
co-00147,subj-0028,22CS4106.CO5,Classify python programming lab concepts and techniques,Understand
co-00148,subj-0029,22HS4101.CO1,Distinguish environmental science concepts and techniques,Analyze
co-00149,subj-0029,22HS4101.CO2,Evaluate environmental science concepts and techniques,Evaluate
co-00150,subj-0029,22HS4101.CO3,Use environmental science concepts and techniques,Apply
co-00151,subj-0029,22HS4101.CO4,Analyze environmental science concepts and techniques,Analyze
co-00152,subj-0029,22HS4101.CO5,Design environmental science concepts and techniques,Create
co-00153,subj-0030,22CS5101.CO1,Judge computer networks concepts and techniques,Evaluate
co-00154,subj-0030,22CS5101.CO2,Examine computer networks concepts and techniques,Analyze
co-00155,subj-0030,22CS5101.CO3,Assess computer networks concepts and techniques,Evaluate
co-00156,subj-0030,22CS5101.CO4,Compare computer networks concepts and techniques,Analyze
co-00157,subj-0030,22CS5101.CO5,Apply computer networks concepts and techniques,Apply
co-00158,subj-0030,22CS5101.CO6,Identify computer networks concepts and techniques,Remember
co-00159,subj-0031,22CS5102.CO1,Apply compiler design concepts and techniques,Apply
co-00160,subj-0031,22CS5102.CO2,Implement compiler design concepts and techniques,Apply
co-00161,subj-0031,22CS5102.CO3,Design compiler design concepts and techniques,Create
co-00162,subj-0031,22CS5102.CO4,Critique compiler design concepts and techniques,Evaluate
co-00163,subj-0031,22CS5102.CO5,Propose compiler design concepts and techniques,Create
co-00164,subj-0031,22CS5102.CO6,Critique compiler design concepts and techniques,Evaluate
co-00165,subj-0032,22CS5103.CO1,Assess formal languages & automata theory concepts and techniques,Evaluate
co-00166,subj-0032,22CS5103.CO2,Explain formal languages & automata theory concepts and techniques,Understand
co-00167,subj-0032,22CS5103.CO3,Compare formal languages & automata theory concepts and techniques,Analyze
co-00168,subj-0032,22CS5103.CO4,Use formal languages & automata theory concepts and techniques,Apply
co-00169,subj-0032,22CS5103.CO5,Solve formal languages & automata theory concepts and techniques,Apply
co-00170,subj-0032,22CS5103.CO6,Demonstrate formal languages & automata theory concepts and techniques,Apply
co-00171,subj-0033,22CS5104.CO1,Formulate web technologies concepts and techniques,Create
co-00172,subj-0033,22CS5104.CO2,Recall web technologies concepts and techniques,Remember
co-00173,subj-0033,22CS5104.CO3,Critique web technologies concepts and techniques,Evaluate
co-00174,subj-0033,22CS5104.CO4,Differentiate web technologies concepts and techniques,Analyze
co-00175,subj-0033,22CS5104.CO5,Examine web technologies concepts and techniques,Analyze
co-00176,subj-0033,22CS5104.CO6,Distinguish web technologies concepts and techniques,Analyze
co-00177,subj-0034,22CS5105.CO1,Compare computer networks lab concepts and techniques,Analyze
co-00178,subj-0034,22CS5105.CO2,Formulate computer networks lab concepts and techniques,Create
co-00179,subj-0034,22CS5105.CO3,Demonstrate computer networks lab concepts and techniques,Apply
co-00180,subj-0034,22CS5105.CO4,Develop computer networks lab concepts and techniques,Create
co-00181,subj-0035,22CS5106.CO1,Formulate professional elective - i concepts and techniques,Create
co-00182,subj-0035,22CS5106.CO2,Construct professional elective - i concepts and techniques,Create
co-00183,subj-0035,22CS5106.CO3,Explain professional elective - i concepts and techniques,Understand
co-00184,subj-0035,22CS5106.CO4,Use professional elective - i concepts and techniques,Apply
co-00185,subj-0035,22CS5106.CO5,Judge professional elective - i concepts and techniques,Evaluate
co-00186,subj-0035,22CS5106.CO6,Distinguish professional elective - i concepts and techniques,Analyze
co-00187,subj-0036,22MC5101.CO1,Implement constitution of india concepts and techniques,Apply
co-00188,subj-0036,22MC5101.CO2,Differentiate constitution of india concepts and techniques,Analyze
co-00189,subj-0036,22MC5101.CO3,Critique constitution of india concepts and techniques,Evaluate
co-00190,subj-0036,22MC5101.CO4,Differentiate constitution of india concepts and techniques,Analyze
co-00191,subj-0036,22MC5101.CO5,Distinguish constitution of india concepts and techniques,Analyze
co-00192,subj-0037,22CS6101.CO1,Use artificial intelligence concepts and techniques,Apply
co-00193,subj-0037,22CS6101.CO2,Demonstrate artificial intelligence concepts and techniques,Apply
co-00194,subj-0037,22CS6101.CO3,Examine artificial intelligence concepts and techniques,Analyze
co-00195,subj-0037,22CS6101.CO4,Analyze artificial intelligence concepts and techniques,Analyze
co-00196,subj-0037,22CS6101.CO5,Differentiate artificial intelligence concepts and techniques,Analyze
co-00197,subj-0038,22CS6102.CO1,Formulate cryptography & network security concepts and techniques,Create
co-00198,subj-0038,22CS6102.CO2,Analyze cryptography & network security concepts and techniques,Analyze
co-00199,subj-0038,22CS6102.CO3,Critique cryptography & network security concepts and techniques,Evaluate
co-00200,subj-0038,22CS6102.CO4,Differentiate cryptography & network security concepts and techniques,Analyze
co-00201,subj-0038,22CS6102.CO5,Propose cryptography & network security concepts and techniques,Create
co-00202,subj-0038,22CS6102.CO6,Demonstrate cryptography & network security concepts and techniques,Apply
co-00203,subj-0039,22CS6103.CO1,Compare machine learning concepts and techniques,Analyze
co-00204,subj-0039,22CS6103.CO2,Compare machine learning concepts and techniques,Analyze
co-00205,subj-0039,22CS6103.CO3,Propose machine learning concepts and techniques,Create
co-00206,subj-0039,22CS6103.CO4,Assess machine learning concepts and techniques,Evaluate
co-00207,subj-0039,22CS6103.CO5,Explain machine learning concepts and techniques,Understand
co-00208,subj-0040,22CS6104.CO1,Solve cloud computing concepts and techniques,Apply
co-00209,subj-0040,22CS6104.CO2,Describe cloud computing concepts and techniques,Understand
co-00210,subj-0040,22CS6104.CO3,Develop cloud computing concepts and techniques,Create
co-00211,subj-0040,22CS6104.CO4,Examine cloud computing concepts and techniques,Analyze
co-00212,subj-0040,22CS6104.CO5,Analyze cloud computing concepts and techniques,Analyze
co-00213,subj-0041,22CS6105.CO1,Implement ai & ml lab concepts and techniques,Apply
co-00214,subj-0041,22CS6105.CO2,Apply ai & ml lab concepts and techniques,Apply
co-00215,subj-0041,22CS6105.CO3,Examine ai & ml lab concepts and techniques,Analyze
co-00216,subj-0041,22CS6105.CO4,Implement ai & ml lab concepts and techniques,Apply
co-00217,subj-0041,22CS6105.CO5,Differentiate ai & ml lab concepts and techniques,Analyze
co-00218,subj-0042,22CS6106.CO1,Examine professional elective - ii concepts and techniques,Analyze
co-00219,subj-0042,22CS6106.CO2,Classify professional elective - ii concepts and techniques,Understand
co-00220,subj-0042,22CS6106.CO3,Describe professional elective - ii concepts and techniques,Understand
co-00221,subj-0042,22CS6106.CO4,Solve professional elective - ii concepts and techniques,Apply
co-00222,subj-0042,22CS6106.CO5,Construct professional elective - ii concepts and techniques,Create
co-00223,subj-0043,22CS6107.CO1,Design open elective - i concepts and techniques,Create
co-00224,subj-0043,22CS6107.CO2,Define open elective - i concepts and techniques,Remember
co-00225,subj-0043,22CS6107.CO3,Demonstrate open elective - i concepts and techniques,Apply
co-00226,subj-0043,22CS6107.CO4,Evaluate open elective - i concepts and techniques,Evaluate
co-00227,subj-0043,22CS6107.CO5,Formulate open elective - i concepts and techniques,Create
co-00228,subj-0043,22CS6107.CO6,Interpret open elective - i concepts and techniques,Understand
co-00229,subj-0044,22CS7101.CO1,Formulate big data analytics concepts and techniques,Create
co-00230,subj-0044,22CS7101.CO2,Design big data analytics concepts and techniques,Create
co-00231,subj-0044,22CS7101.CO3,Justify big data analytics concepts and techniques,Evaluate
co-00232,subj-0044,22CS7101.CO4,Propose big data analytics concepts and techniques,Create
co-00233,subj-0044,22CS7101.CO5,Implement big data analytics concepts and techniques,Apply
co-00234,subj-0044,22CS7101.CO6,Construct big data analytics concepts and techniques,Create
co-00235,subj-0045,22CS7102.CO1,Examine internet of things concepts and techniques,Analyze
co-00236,subj-0045,22CS7102.CO2,Construct internet of things concepts and techniques,Create
co-00237,subj-0045,22CS7102.CO3,Examine internet of things concepts and techniques,Analyze
co-00238,subj-0045,22CS7102.CO4,Examine internet of things concepts and techniques,Analyze
co-00239,subj-0045,22CS7102.CO5,Demonstrate internet of things concepts and techniques,Apply
co-00240,subj-0046,22CS7103.CO1,Evaluate professional elective - iii concepts and techniques,Evaluate
co-00241,subj-0046,22CS7103.CO2,Analyze professional elective - iii concepts and techniques,Analyze
co-00242,subj-0046,22CS7103.CO3,Examine professional elective - iii concepts and techniques,Analyze
co-00243,subj-0046,22CS7103.CO4,Differentiate professional elective - iii concepts and techniques,Analyze
co-00244,subj-0046,22CS7103.CO5,Classify professional elective - iii concepts and techniques,Understand
co-00245,subj-0047,22CS7104.CO1,Use open elective - ii concepts and techniques,Apply
co-00246,subj-0047,22CS7104.CO2,Evaluate open elective - ii concepts and techniques,Evaluate
co-00247,subj-0047,22CS7104.CO3,Propose open elective - ii concepts and techniques,Create
co-00248,subj-0047,22CS7104.CO4,Formulate open elective - ii concepts and techniques,Create
co-00249,subj-0047,22CS7104.CO5,Formulate open elective - ii concepts and techniques,Create
co-00250,subj-0048,22CS7105.CO1,Distinguish project - i concepts and techniques,Analyze
co-00251,subj-0048,22CS7105.CO2,Examine project - i concepts and techniques,Analyze
co-00252,subj-0048,22CS7105.CO3,Justify project - i concepts and techniques,Evaluate
co-00253,subj-0048,22CS7105.CO4,Differentiate project - i concepts and techniques,Analyze
co-00254,subj-0049,22CS7106.CO1,Differentiate seminar concepts and techniques,Analyze
co-00255,subj-0049,22CS7106.CO2,Formulate seminar concepts and techniques,Create
co-00256,subj-0049,22CS7106.CO3,Formulate seminar concepts and techniques,Create
co-00257,subj-0049,22CS7106.CO4,Justify seminar concepts and techniques,Evaluate
co-00258,subj-0050,22CS8101.CO1,Justify professional elective - iv concepts and techniques,Evaluate
co-00259,subj-0050,22CS8101.CO2,Differentiate professional elective - iv concepts and techniques,Analyze
co-00260,subj-0050,22CS8101.CO3,Distinguish professional elective - iv concepts and techniques,Analyze
co-00261,subj-0050,22CS8101.CO4,Analyze professional elective - iv concepts and techniques,Analyze
co-00262,subj-0050,22CS8101.CO5,Distinguish professional elective - iv concepts and techniques,Analyze
co-00263,subj-0051,22CS8102.CO1,Analyze project - ii concepts and techniques,Analyze
co-00264,subj-0051,22CS8102.CO2,Distinguish project - ii concepts and techniques,Analyze
co-00265,subj-0051,22CS8102.CO3,Analyze project - ii concepts and techniques,Analyze
co-00266,subj-0051,22CS8102.CO4,Formulate project - ii concepts and techniques,Create
co-00267,subj-0051,22CS8102.CO5,Construct project - ii concepts and techniques,Create
co-00268,subj-0052,22CS8103.CO1,Examine comprehensive viva concepts and techniques,Analyze
co-00269,subj-0052,22CS8103.CO2,Analyze comprehensive viva concepts and techniques,Analyze
co-00270,subj-0052,22CS8103.CO3,Assess comprehensive viva concepts and techniques,Evaluate
co-00271,subj-0052,22CS8103.CO4,Critique comprehensive viva concepts and techniques,Evaluate
co-00272,subj-0053,22MA1101.CO1,Develop linear algebra & calculus concepts and techniques,Create
co-00273,subj-0053,22MA1101.CO2,State linear algebra & calculus concepts and techniques,Remember
co-00274,subj-0053,22MA1101.CO3,Classify linear algebra & calculus concepts and techniques,Understand
co-00275,subj-0053,22MA1101.CO4,Implement linear algebra & calculus concepts and techniques,Apply
co-00276,subj-0053,22MA1101.CO5,Solve linear algebra & calculus concepts and techniques,Apply
co-00277,subj-0054,22PH1101.CO1,Distinguish applied physics concepts and techniques,Analyze
co-00278,subj-0054,22PH1101.CO2,Identify applied physics concepts and techniques,Remember
co-00279,subj-0054,22PH1101.CO3,Formulate applied physics concepts and techniques,Create
co-00280,subj-0054,22PH1101.CO4,Compare applied physics concepts and techniques,Analyze
co-00281,subj-0054,22PH1101.CO5,Differentiate applied physics concepts and techniques,Analyze
co-00282,subj-0054,22PH1101.CO6,Use applied physics concepts and techniques,Apply
co-00283,subj-0055,22CS1101.CO1,Summarize programming for problem solving (c) concepts and techniques,Understand
co-00284,subj-0055,22CS1101.CO2,Solve programming for problem solving (c) concepts and techniques,Apply
co-00285,subj-0055,22CS1101.CO3,Use programming for problem solving (c) concepts and techniques,Apply
co-00286,subj-0055,22CS1101.CO4,Demonstrate programming for problem solving (c) concepts and techniques,Apply
co-00287,subj-0055,22CS1101.CO5,Use programming for problem solving (c) concepts and techniques,Apply
co-00288,subj-0056,22CS1102.CO1,Interpret programming for problem solving lab concepts and techniques,Understand
co-00289,subj-0056,22CS1102.CO2,Summarize programming for problem solving lab concepts and techniques,Understand
co-00290,subj-0056,22CS1102.CO3,State programming for problem solving lab concepts and techniques,Remember
co-00291,subj-0056,22CS1102.CO4,Analyze programming for problem solving lab concepts and techniques,Analyze
co-00292,subj-0057,22EN1101.CO1,Explain english - i concepts and techniques,Understand
co-00293,subj-0057,22EN1101.CO2,Classify english - i concepts and techniques,Understand
co-00294,subj-0057,22EN1101.CO3,Apply english - i concepts and techniques,Apply
co-00295,subj-0057,22EN1101.CO4,Justify english - i concepts and techniques,Evaluate
co-00296,subj-0057,22EN1101.CO5,Classify english - i concepts and techniques,Understand
co-00297,subj-0057,22EN1101.CO6,Explain english - i concepts and techniques,Understand
co-00298,subj-0058,22ME1101.CO1,Solve engineering drawing concepts and techniques,Apply
co-00299,subj-0058,22ME1101.CO2,Design engineering drawing concepts and techniques,Create
co-00300,subj-0058,22ME1101.CO3,Use engineering drawing concepts and techniques,Apply
co-00301,subj-0058,22ME1101.CO4,Define engineering drawing concepts and techniques,Remember
co-00302,subj-0058,22ME1101.CO5,State engineering drawing concepts and techniques,Remember
co-00303,subj-0059,22PH1102.CO1,Examine applied physics lab concepts and techniques,Analyze
co-00304,subj-0059,22PH1102.CO2,Summarize applied physics lab concepts and techniques,Understand
co-00305,subj-0059,22PH1102.CO3,Explain applied physics lab concepts and techniques,Understand
co-00306,subj-0059,22PH1102.CO4,State applied physics lab concepts and techniques,Remember
co-00307,subj-0059,22PH1102.CO5,Recall applied physics lab concepts and techniques,Remember
co-00308,subj-0060,22MA1201.CO1,"Formulate probability, statistics & numerical methods concepts and techniques",Create
co-00309,subj-0060,22MA1201.CO2,"State probability, statistics & numerical methods concepts and techniques",Remember
co-00310,subj-0060,22MA1201.CO3,"Solve probability, statistics & numerical methods concepts and techniques",Apply
co-00311,subj-0060,22MA1201.CO4,"Differentiate probability, statistics & numerical methods concepts and techniques",Analyze
co-00312,subj-0060,22MA1201.CO5,"Use probability, statistics & numerical methods concepts and techniques",Apply
co-00313,subj-0061,22CH1201.CO1,List engineering chemistry concepts and techniques,Remember
co-00314,subj-0061,22CH1201.CO2,Interpret engineering chemistry concepts and techniques,Understand
co-00315,subj-0061,22CH1201.CO3,Use engineering chemistry concepts and techniques,Apply
co-00316,subj-0061,22CH1201.CO4,Solve engineering chemistry concepts and techniques,Apply
co-00317,subj-0061,22CH1201.CO5,Assess engineering chemistry concepts and techniques,Evaluate
co-00318,subj-0062,22EE1201.CO1,Apply basic electrical engineering concepts and techniques,Apply
co-00319,subj-0062,22EE1201.CO2,Interpret basic electrical engineering concepts and techniques,Understand
co-00320,subj-0062,22EE1201.CO3,Solve basic electrical engineering concepts and techniques,Apply
co-00321,subj-0062,22EE1201.CO4,Explain basic electrical engineering concepts and techniques,Understand
co-00322,subj-0062,22EE1201.CO5,State basic electrical engineering concepts and techniques,Remember
co-00323,subj-0063,22EE1202.CO1,Design basic electrical engineering lab concepts and techniques,Create
co-00324,subj-0063,22EE1202.CO2,Construct basic electrical engineering lab concepts and techniques,Create
co-00325,subj-0063,22EE1202.CO3,Interpret basic electrical engineering lab concepts and techniques,Understand
