id,co_id,po_id,strength,rationale,is_active
copo-000135,co-00030,po-09,1,,True
copo-000136,co-00030,po-02,3,,True
copo-000137,co-00030,po-04,3,,True
copo-000138,co-00031,po-07,2,,True
copo-000139,co-00031,po-09,3,,True
copo-000140,co-00031,po-01,3,,True
copo-000141,co-00031,po-05,3,,True
copo-000142,co-00031,po-11,3,,True
copo-000143,co-00032,po-08,3,,True
copo-000144,co-00032,po-12,2,,True
copo-000145,co-00032,po-11,3,,True
copo-000146,co-00032,po-04,1,,True
copo-000147,co-00032,po-10,2,,True
copo-000148,co-00033,po-02,2,,True
copo-000149,co-00033,po-04,1,,True
copo-000150,co-00033,po-05,1,,True
copo-000151,co-00033,po-11,2,,True
copo-000152,co-00033,po-09,3,,True
copo-000153,co-00034,po-08,2,,True
copo-000154,co-00034,po-07,3,,True
copo-000155,co-00034,po-10,3,,True
copo-000156,co-00035,po-08,1,,True
copo-000157,co-00035,po-07,3,,True
copo-000158,co-00035,po-04,2,,True
copo-000159,co-00035,po-03,2,,True
copo-000160,co-00035,po-01,3,,True
copo-000161,co-00035,po-11,3,,True
copo-000162,co-00036,po-02,3,,True
copo-000163,co-00036,po-07,3,,True
copo-000164,co-00036,po-11,3,,True
copo-000165,co-00036,po-06,1,,True
copo-000166,co-00037,po-07,3,,True
copo-000167,co-00037,po-12,3,,True
copo-000168,co-00037,po-10,3,,True
copo-000169,co-00037,po-01,1,,True
copo-000170,co-00038,po-05,3,,True
copo-000171,co-00038,po-07,2,,True
copo-000172,co-00038,po-11,2,,True
copo-000173,co-00038,po-09,3,,True
copo-000174,co-00038,po-04,3,,True
copo-000175,co-00039,po-07,3,,True
copo-000176,co-00039,po-06,2,,True
copo-000177,co-00039,po-12,3,,True
copo-000178,co-00040,po-10,3,,True
copo-000179,co-00040,po-09,3,,True
copo-000180,co-00040,po-01,3,,True
copo-000181,co-00040,po-07,1,,True
copo-000182,co-00041,po-11,3,,True
copo-000183,co-00041,po-07,2,,True
copo-000184,co-00041,po-03,1,,True
copo-000185,co-00042,po-03,3,,True
copo-000186,co-00042,po-05,1,,True
copo-000187,co-00042,po-02,2,,True
copo-000188,co-00043,po-07,2,,True
copo-000189,co-00043,po-04,3,,True
copo-000190,co-00043,po-02,3,,True
copo-000191,co-00043,po-11,1,,True
copo-000192,co-00043,po-10,3,,True
copo-000193,co-00043,po-06,1,,True
copo-000194,co-00044,po-09,1,,True
copo-000195,co-00044,po-07,3,,True
copo-000196,co-00044,po-06,3,,True
copo-000197,co-00044,po-02,1,,True
copo-000198,co-00044,po-10,3,,True
copo-000199,co-00045,po-11,3,,True
copo-000200,co-00045,po-08,3,,True
copo-000201,co-00045,po-03,3,,True
copo-000202,co-00045,po-07,2,,True
copo-000203,co-00045,po-10,3,,True
copo-000204,co-00046,po-08,2,,True
copo-000205,co-00046,po-07,1,,True
copo-000206,co-00046,po-10,2,,True
copo-000207,co-00046,po-05,3,,True
copo-000208,co-00046,po-06,2,,True
copo-000209,co-00046,po-11,3,,True
copo-000210,co-00047,po-08,3,,True
copo-000211,co-00047,po-09,3,,True
copo-000212,co-00047,po-11,2,,True
copo-000213,co-00047,po-06,2,,True
copo-000214,co-00047,po-07,3,,True
copo-000215,co-00048,po-05,2,,True
copo-000216,co-00048,po-12,2,,True
copo-000217,co-00048,po-11,1,,True
copo-000218,co-00048,po-04,3,,True
copo-000219,co-00048,po-02,3,,True
copo-000220,co-00048,po-06,3,,True
copo-000221,co-00049,po-04,3,,True
copo-000222,co-00049,po-12,3,,True
copo-000223,co-00049,po-08,3,,True
copo-000224,co-00049,po-05,3,,True
copo-000225,co-00050,po-02,2,,True
copo-000226,co-00050,po-04,2,,True
copo-000227,co-00050,po-05,1,,True
copo-000228,co-00050,po-11,3,,True
copo-000229,co-00050,po-06,3,,True
copo-000230,co-00051,po-05,2,,True
copo-000231,co-00051,po-01,3,,True
copo-000232,co-00051,po-11,2,,True
copo-000233,co-00051,po-09,3,,True
copo-000234,co-00052,po-02,3,,True
copo-000235,co-00052,po-01,2,,True
copo-000236,co-00052,po-10,2,,True
copo-000237,co-00052,po-05,1,,True
copo-000238,co-00052,po-08,2,,True
copo-000239,co-00052,po-04,3,,True
copo-000240,co-00053,po-03,3,,True
copo-000241,co-00053,po-01,3,,True
copo-000242,co-00053,po-07,3,,True
copo-000243,co-00054,po-05,3,,True
copo-000244,co-00054,po-01,1,,True
copo-000245,co-00054,po-04,3,,True
copo-000246,co-00054,po-12,2,,True
copo-000247,co-00054,po-09,2,,True
copo-000248,co-00054,po-06,3,,True
copo-000249,co-00055,po-07,3,,True
copo-000250,co-00055,po-02,2,,True
copo-000251,co-00055,po-09,2,,True
copo-000252,co-00055,po-04,2,,True
copo-000253,co-00056,po-01,3,,True
copo-000254,co-00056,po-03,3,,True
copo-000255,co-00056,po-05,3,,True
copo-000256,co-00057,po-03,3,,True
copo-000257,co-00057,po-10,2,,True
copo-000258,co-00057,po-07,3,,True
copo-000259,co-00057,po-08,2,,True
copo-000260,co-00057,po-02,2,,True
copo-000261,co-00058,po-03,3,,True
copo-000262,co-00058,po-06,3,,True
copo-000263,co-00058,po-07,2,,True
copo-000264,co-00059,po-09,2,,True
copo-000265,co-00059,po-01,1,,True
copo-000266,co-00059,po-08,3,,True
copo-000267,co-00059,po-02,3,,True
copo-000268,co-00059,po-06,1,,True
copo-000269,co-00059,po-03,3,,True
copo-000270,co-00060,po-07,3,,True
copo-000271,co-00060,po-01,3,,True
copo-000272,co-00060,po-04,3,,True
copo-000273,co-00060,po-09,1,,True
copo-000274,co-00060,po-06,2,,True
copo-000275,co-00060,po-05,2,,True
copo-000276,co-00061,po-05,1,,True
copo-000277,co-00061,po-08,3,,True
copo-000278,co-00061,po-11,3,,True
copo-000279,co-00061,po-02,2,,True
copo-000280,co-00062,po-09,3,,True
copo-000281,co-00062,po-05,3,,True
copo-000282,co-00062,po-01,3,,True
copo-000283,co-00062,po-11,3,,True
copo-000284,co-00062,po-12,2,,True
copo-000285,co-00063,po-09,2,,True
copo-000286,co-00063,po-08,2,,True
copo-000287,co-00063,po-06,3,,True
copo-000288,co-00063,po-10,2,,True
copo-000289,co-00063,po-07,3,,True
copo-000290,co-00063,po-04,3,,True
copo-000291,co-00064,po-07,3,,True
copo-000292,co-00064,po-01,3,,True
copo-000293,co-00064,po-06,3,,True
copo-000294,co-00064,po-08,3,,True
copo-000295,co-00065,po-08,3,,True
copo-000296,co-00065,po-01,2,,True
copo-000297,co-00065,po-03,1,,True
copo-000298,co-00065,po-09,3,,True
copo-000299,co-00066,po-09,3,,True
copo-000300,co-00066,po-08,2,,True
copo-000301,co-00066,po-01,3,,True
copo-000302,co-00067,po-02,3,,True
copo-000303,co-00067,po-08,3,,True
copo-000304,co-00067,po-05,3,,True
copo-000305,co-00067,po-06,3,,True
copo-000306,co-00068,po-08,3,,True
copo-000307,co-00068,po-10,3,,True
copo-000308,co-00068,po-03,2,,True
copo-000309,co-00068,po-04,3,,True
copo-000310,co-00069,po-11,1,,True
copo-000311,co-00069,po-01,3,,True
copo-000312,co-00069,po-08,2,,True
copo-000313,co-00069,po-05,3,,True
copo-000314,co-00069,po-03,2,,True
copo-000315,co-00070,po-12,3,,True
copo-000316,co-00070,po-05,1,,True
copo-000317,co-00070,po-08,2,,True
copo-000318,co-00070,po-11,3,,True
copo-000319,co-00070,po-04,3,,True
copo-000320,co-00070,po-10,2,,True
copo-000321,co-00071,po-12,1,,True
copo-000322,co-00071,po-05,3,,True
copo-000323,co-00071,po-01,3,,True
copo-000324,co-00071,po-07,3,,True
copo-000325,co-00071,po-11,1,,True
copo-000326,co-00072,po-05,2,,True
copo-000327,co-00072,po-04,3,,True
copo-000328,co-00072,po-10,2,,True
copo-000329,co-00072,po-06,3,,True
copo-000330,co-00072,po-11,3,,True
copo-000331,co-00072,po-09,3,,True
copo-000332,co-00073,po-12,2,,True
copo-000333,co-00073,po-06,2,,True
copo-000334,co-00073,po-02,3,,True
copo-000335,co-00073,po-08,3,,True
copo-000336,co-00073,po-10,3,,True
copo-000337,co-00074,po-09,3,,True
copo-000338,co-00074,po-06,1,,True
copo-000339,co-00074,po-02,3,,True
copo-000340,co-00074,po-07,2,,True
copo-000341,co-00074,po-01,3,,True
copo-000342,co-00074,po-03,3,,True
copo-000343,co-00075,po-10,3,,True
copo-000344,co-00075,po-07,1,,True
copo-000345,co-00075,po-06,3,,True
copo-000346,co-00075,po-02,3,,True
copo-000347,co-00075,po-04,2,,True
copo-000348,co-00076,po-11,3,,True
copo-000349,co-00076,po-02,3,,True
copo-000350,co-00076,po-08,1,,True
copo-000351,co-00076,po-05,2,,True
copo-000352,co-00077,po-06,3,,True
copo-000353,co-00077,po-02,2,,True
copo-000354,co-00077,po-12,1,,True
copo-000355,co-00077,po-09,3,,True
copo-000356,co-00078,po-04,3,,True
copo-000357,co-00078,po-02,3,,True
copo-000358,co-00078,po-08,3,,True
copo-000359,co-00078,po-11,1,,True
copo-000360,co-00078,po-12,1,,True
copo-000361,co-00079,po-04,3,,True
copo-000362,co-00079,po-03,2,,True
copo-000363,co-00079,po-10,3,,True
copo-000364,co-00079,po-12,2,,True
copo-000365,co-00079,po-02,2,,True
copo-000366,co-00080,po-03,2,,True
copo-000367,co-00080,po-10,3,,True
copo-000368,co-00080,po-01,2,,True
copo-000369,co-00080,po-05,2,,True
copo-000370,co-00080,po-12,1,,True
copo-000371,co-00081,po-03,2,,True
copo-000372,co-00081,po-01,3,,True
copo-000373,co-00081,po-06,2,,True
copo-000374,co-00082,po-08,1,,True
copo-000375,co-00082,po-12,2,,True
copo-000376,co-00082,po-02,3,,True
copo-000377,co-00083,po-02,3,,True
copo-000378,co-00083,po-03,2,,True
copo-000379,co-00083,po-05,3,,True
copo-000380,co-00083,po-09,3,,True
copo-000381,co-00084,po-08,3,,True
copo-000382,co-00084,po-09,1,,True
copo-000383,co-00084,po-10,3,,True
copo-000384,co-00084,po-07,3,,True
copo-000385,co-00084,po-02,3,,True
copo-000386,co-00085,po-07,2,,True
copo-000387,co-00085,po-08,3,,True
copo-000388,co-00085,po-04,3,,True
copo-000389,co-00085,po-12,3,,True
copo-000390,co-00086,po-06,3,,True
copo-000391,co-00086,po-07,2,,True
copo-000392,co-00086,po-12,2,,True
copo-000393,co-00087,po-09,3,,True
copo-000394,co-00087,po-06,3,,True
copo-000395,co-00087,po-02,3,,True
copo-000396,co-00087,po-05,3,,True
copo-000397,co-00087,po-04,3,,True
copo-000398,co-00088,po-10,1,,True
copo-000399,co-00088,po-11,2,,True
copo-000400,co-00088,po-05,2,,True
copo-000401,co-00089,po-06,3,,True
copo-000402,co-00089,po-12,3,,True
copo-000403,co-00089,po-01,3,,True
copo-000404,co-00089,po-03,1,,True
copo-000405,co-00089,po-09,2,,True
copo-000406,co-00090,po-02,3,,True
copo-000407,co-00090,po-09,3,,True
copo-000408,co-00090,po-04,3,,True
copo-000409,co-00091,po-03,1,,True
copo-000410,co-00091,po-06,2,,True
copo-000411,co-00091,po-05,2,,True
copo-000412,co-00091,po-11,3,,True
copo-000413,co-00091,po-02,1,,True
copo-000414,co-00092,po-05,3,,True
copo-000415,co-00092,po-08,3,,True
copo-000416,co-00092,po-07,3,,True
copo-000417,co-00093,po-10,1,,True
copo-000418,co-00093,po-07,2,,True
copo-000419,co-00093,po-11,2,,True
copo-000420,co-00093,po-05,3,,True
copo-000421,co-00093,po-02,3,,True
copo-000422,co-00093,po-04,3,,True
copo-000423,co-00094,po-02,3,,True
copo-000424,co-00094,po-07,3,,True
copo-000425,co-00094,po-12,3,,True
copo-000426,co-00094,po-04,1,,True
copo-000427,co-00094,po-11,3,,True
copo-000428,co-00095,po-12,1,,True
copo-000429,co-00095,po-06,3,,True
copo-000430,co-00095,po-04,3,,True
copo-000431,co-00095,po-11,1,,True
copo-000432,co-00095,po-03,3,,True
copo-000433,co-00096,po-06,1,,True
copo-000434,co-00096,po-12,2,,True
copo-000435,co-00096,po-03,2,,True
copo-000436,co-00096,po-04,2,,True
copo-000437,co-00097,po-10,3,,True
copo-000438,co-00097,po-03,3,,True
copo-000439,co-00097,po-02,3,,True
copo-000440,co-00097,po-11,3,,True
copo-000441,co-00098,po-11,3,,True
copo-000442,co-00098,po-10,1,,True
copo-000443,co-00098,po-12,3,,True
copo-000444,co-00098,po-06,3,,True
copo-000445,co-00098,po-09,3,,True
copo-000446,co-00098,po-02,2,,True
copo-000447,co-00099,po-09,2,,True
copo-000448,co-00099,po-12,3,,True
copo-000449,co-00099,po-10,3,,True
copo-000450,co-00099,po-03,2,,True
copo-000451,co-00099,po-06,3,,True
copo-000452,co-00099,po-11,3,,True
copo-000453,co-00100,po-11,1,,True
copo-000454,co-00100,po-12,2,,True
copo-000455,co-00100,po-06,1,,True
copo-000456,co-00101,po-05,3,,True
copo-000457,co-00101,po-12,3,,True
copo-000458,co-00101,po-10,2,,True
copo-000459,co-00101,po-03,2,,True
copo-000460,co-00101,po-06,2,,True
copo-000461,co-00101,po-01,3,,True
copo-000462,co-00102,po-03,2,,True
copo-000463,co-00102,po-10,2,,True
copo-000464,co-00102,po-02,3,,True
copo-000465,co-00102,po-05,3,,True
copo-000466,co-00102,po-07,3,,True
copo-000467,co-00102,po-06,3,,True
copo-000468,co-00103,po-11,3,,True
copo-000469,co-00103,po-12,2,,True
copo-000470,co-00103,po-07,1,,True
copo-000471,co-00104,po-10,3,,True
copo-000472,co-00104,po-05,2,,True
copo-000473,co-00104,po-08,2,,True
copo-000474,co-00104,po-04,3,,True
copo-000475,co-00104,po-09,3,,True
copo-000476,co-00104,po-03,3,,True
copo-000477,co-00105,po-05,2,,True
copo-000478,co-00105,po-07,3,,True
copo-000479,co-00105,po-09,2,,True
copo-000480,co-00105,po-10,2,,True
copo-000481,co-00105,po-11,1,,True
copo-000482,co-00105,po-02,3,,True
copo-000483,co-00106,po-06,1,,True
copo-000484,co-00106,po-09,2,,True
copo-000485,co-00106,po-02,2,,True
copo-000486,co-00106,po-11,3,,True
copo-000487,co-00106,po-10,3,,True
copo-000488,co-00106,po-03,2,,True
copo-000489,co-00107,po-02,1,,True
copo-000490,co-00107,po-04,3,,True
copo-000491,co-00107,po-08,3,,True
copo-000492,co-00107,po-06,2,,True
copo-000493,co-00107,po-01,2,,True
copo-000494,co-00107,po-11,3,,True
copo-000495,co-00108,po-02,1,,True
copo-000496,co-00108,po-01,1,,True
copo-000497,co-00108,po-04,3,,True
copo-000498,co-00108,po-07,3,,True
copo-000499,co-00108,po-08,3,,True
copo-000500,co-00109,po-11,2,,True
copo-000501,co-00109,po-09,3,,True
copo-000502,co-00109,po-10,2,,True
copo-000503,co-00110,po-07,3,,True
copo-000504,co-00110,po-01,3,,True
copo-000505,co-00110,po-10,2,,True
copo-000506,co-00110,po-06,3,,True
copo-000507,co-00110,po-04,3,,True
copo-000508,co-00111,po-09,3,,True
copo-000509,co-00111,po-06,3,,True
copo-000510,co-00111,po-02,3,,True
copo-000511,co-00112,po-07,3,,True
copo-000512,co-00112,po-08,3,,True
copo-000513,co-00112,po-01,2,,True
copo-000514,co-00113,po-12,2,,True
copo-000515,co-00113,po-01,3,,True
copo-000516,co-00113,po-06,3,,True
copo-000517,co-00113,po-02,3,,True
copo-000518,co-00113,po-10,1,,True
copo-000519,co-00114,po-03,1,,True
copo-000520,co-00114,po-08,3,,True
copo-000521,co-00114,po-11,3,,True
copo-000522,co-00114,po-06,1,,True
copo-000523,co-00114,po-05,3,,True
copo-000524,co-00115,po-09,1,,True
copo-000525,co-00115,po-05,2,,True
copo-000526,co-00115,po-06,3,,True
copo-000527,co-00115,po-02,2,,True
copo-000528,co-00116,po-08,2,,True
copo-000529,co-00116,po-10,3,,True
copo-000530,co-00116,po-07,1,,True
copo-000531,co-00116,po-03,3,,True
copo-000532,co-00116,po-12,2,,True
copo-000533,co-00117,po-05,3,,True
copo-000534,co-00117,po-11,3,,True
copo-000535,co-00117,po-01,3,,True
copo-000536,co-00117,po-02,2,,True
copo-000537,co-00117,po-07,1,,True
copo-000538,co-00117,po-03,2,,True
copo-000539,co-00118,po-01,3,,True
copo-000540,co-00118,po-03,3,,True
copo-000541,co-00118,po-02,1,,True
copo-000542,co-00118,po-04,3,,True
copo-000543,co-00118,po-06,2,,True
copo-000544,co-00118,po-11,3,,True
copo-000545,co-00119,po-06,2,,True
copo-000546,co-00119,po-12,3,,True
copo-000547,co-00119,po-08,2,,True
copo-000548,co-00119,po-02,3,,True
copo-000549,co-00119,po-03,2,,True
copo-000550,co-00119,po-05,2,,True
copo-000551,co-00120,po-02,3,,True
copo-000552,co-00120,po-04,1,,True
copo-000553,co-00120,po-03,2,,True
copo-000554,co-00120,po-11,3,,True
copo-000555,co-00121,po-08,2,,True
copo-000556,co-00121,po-09,3,,True
copo-000557,co-00121,po-03,3,,True
copo-000558,co-00121,po-02,3,,True
copo-000559,co-00121,po-11,3,,True
copo-000560,co-00122,po-07,1,,True
copo-000561,co-00122,po-10,3,,True
copo-000562,co-00122,po-02,3,,True
copo-000563,co-00122,po-03,3,,True
copo-000564,co-00122,po-06,3,,True
copo-000565,co-00122,po-08,2,,True
copo-000566,co-00123,po-09,2,,True
copo-000567,co-00123,po-11,3,,True
copo-000568,co-00123,po-10,3,,True
copo-000569,co-00123,po-03,1,,True
copo-000570,co-00124,po-09,2,,True
copo-000571,co-00124,po-03,2,,True
copo-000572,co-00124,po-05,2,,True
copo-000573,co-00125,po-06,2,,True
copo-000574,co-00125,po-09,2,,True
copo-000575,co-00125,po-05,3,,True
copo-000576,co-00125,po-02,3,,True
copo-000577,co-00126,po-03,3,,True
copo-000578,co-00126,po-08,3,,True
copo-000579,co-00126,po-07,2,,True
copo-000580,co-00127,po-10,3,,True
copo-000581,co-00127,po-03,2,,True
copo-000582,co-00127,po-06,2,,True
copo-000583,co-00127,po-12,3,,True
copo-000584,co-00127,po-09,3,,True
copo-000585,co-00128,po-06,1,,True
copo-000586,co-00128,po-04,2,,True
copo-000587,co-00128,po-08,3,,True
copo-000588,co-00129,po-03,3,,True
copo-000589,co-00129,po-02,3,,True
copo-000590,co-00129,po-01,3,,True
copo-000591,co-00129,po-05,2,,True
copo-000592,co-00130,po-06,2,,True
copo-000593,co-00130,po-10,3,,True
copo-000594,co-00130,po-12,3,,True
copo-000595,co-00130,po-04,3,,True
copo-000596,co-00131,po-05,3,,True
copo-000597,co-00131,po-08,2,,True
copo-000598,co-00131,po-01,2,,True
copo-000599,co-00131,po-02,3,,True
copo-000600,co-00131,po-07,2,,True
copo-000601,co-00131,po-12,1,,True
copo-000602,co-00132,po-03,3,,True
copo-000603,co-00132,po-04,1,,True
copo-000604,co-00132,po-10,1,,True
copo-000605,co-00132,po-09,1,,True
copo-000606,co-00132,po-07,2,,True
copo-000607,co-00133,po-08,2,,True
copo-000608,co-00133,po-09,3,,True
copo-000609,co-00133,po-12,2,,True
copo-000610,co-00133,po-03,2,,True
copo-000611,co-00133,po-11,3,,True
copo-000612,co-00134,po-10,3,,True
copo-000613,co-00134,po-06,3,,True
copo-000614,co-00134,po-09,2,,True
copo-000615,co-00134,po-12,3,,True
copo-000616,co-00134,po-08,1,,True
copo-000617,co-00135,po-06,3,,True
copo-000618,co-00135,po-11,3,,True
copo-000619,co-00135,po-02,3,,True
copo-000620,co-00135,po-07,1,,True
copo-000621,co-00135,po-05,3,,True
copo-000622,co-00136,po-05,3,,True
copo-000623,co-00136,po-11,2,,True
copo-000624,co-00136,po-10,3,,True
copo-000625,co-00136,po-04,3,,True
copo-000626,co-00136,po-01,3,,True
copo-000627,co-00136,po-12,3,,True
copo-000628,co-00137,po-03,1,,True
copo-000629,co-00137,po-11,3,,True
copo-000630,co-00137,po-04,2,,True
copo-000631,co-00137,po-01,3,,True
copo-000632,co-00137,po-02,2,,True
copo-000633,co-00137,po-08,3,,True
copo-000634,co-00138,po-05,3,,True
copo-000635,co-00138,po-02,2,,True
copo-000636,co-00138,po-10,2,,True
copo-000637,co-00138,po-09,2,,True
copo-000638,co-00138,po-07,1,,True
copo-000639,co-00139,po-12,3,,True
copo-000640,co-00139,po-02,3,,True
copo-000641,co-00139,po-06,2,,True
copo-000642,co-00139,po-08,2,,True
copo-000643,co-00139,po-05,3,,True
copo-000644,co-00140,po-09,2,,True
copo-000645,co-00140,po-05,1,,True
copo-000646,co-00140,po-03,3,,True
copo-000647,co-00140,po-02,3,,True
copo-000648,co-00140,po-04,2,,True
copo-000649,co-00141,po-01,3,,True
copo-000650,co-00141,po-02,3,,True
copo-000651,co-00141,po-07,1,,True
copo-000652,co-00141,po-06,3,,True
copo-000653,co-00142,po-01,3,,True
copo-000654,co-00142,po-09,3,,True
copo-000655,co-00142,po-03,3,,True
copo-000656,co-00142,po-07,3,,True
copo-000657,co-00143,po-03,1,,True
copo-000658,co-00143,po-09,2,,True
copo-000659,co-00143,po-08,2,,True
copo-000660,co-00143,po-05,3,,True
copo-000661,co-00143,po-04,3,,True
copo-000662,co-00143,po-07,3,,True
copo-000663,co-00144,po-12,3,,True
copo-000664,co-00144,po-03,3,,True
copo-000665,co-00144,po-01,2,,True
copo-000666,co-00144,po-06,2,,True
copo-000667,co-00144,po-05,3,,True
copo-000668,co-00145,po-07,1,,True
copo-000669,co-00145,po-09,2,,True
copo-000670,co-00145,po-06,2,,True
copo-000671,co-00145,po-02,3,,True
copo-000672,co-00145,po-12,2,,True
copo-000673,co-00145,po-10,2,,True
copo-000674,co-00146,po-05,3,,True
copo-000675,co-00146,po-07,2,,True
copo-000676,co-00146,po-04,2,,True
copo-000677,co-00147,po-10,3,,True
copo-000678,co-00147,po-12,2,,True
copo-000679,co-00147,po-01,1,,True
copo-000680,co-00147,po-05,3,,True
copo-000681,co-00147,po-06,1,,True
copo-000682,co-00148,po-09,3,,True
copo-000683,co-00148,po-12,3,,True
copo-000684,co-00148,po-04,2,,True
copo-000685,co-00149,po-06,3,,True
copo-000686,co-00149,po-09,2,,True
copo-000687,co-00149,po-08,3,,True
copo-000688,co-00149,po-02,3,,True
copo-000689,co-00150,po-02,3,,True
copo-000690,co-00150,po-09,3,,True
copo-000691,co-00150,po-08,3,,True
copo-000692,co-00150,po-01,3,,True
copo-000693,co-00150,po-10,1,,True
copo-000694,co-00150,po-12,3,,True
copo-000695,co-00151,po-11,1,,True
copo-000696,co-00151,po-05,3,,True
copo-000697,co-00151,po-01,2,,True
