id,student_id,hostel_room_id,hostel_block_id,room_number,academic_year,admission_year,status
halloc-00041,STU-00082,hrm-0018,hblk-boys-a,BA-F1R06,2022-2026,2022,occupied
halloc-00042,STU-01742,hrm-0018,hblk-boys-a,BA-F1R06,2023-2027,2023,occupied
halloc-00043,STU-03319,hrm-0019,hblk-boys-a,BA-F1R07,2025-2029,2025,occupied
halloc-00044,STU-01413,hrm-0019,hblk-boys-a,BA-F1R07,2025-2029,2025,occupied
halloc-00045,STU-00148,hrm-0019,hblk-boys-a,BA-F1R07,2023-2027,2023,occupied
halloc-00046,STU-01631,hrm-0020,hblk-boys-a,BA-F1R08,2025-2029,2025,occupied
halloc-00047,STU-02410,hrm-0020,hblk-boys-a,BA-F1R08,2022-2026,2022,occupied
halloc-00048,STU-03290,hrm-0020,hblk-boys-a,BA-F1R08,2024-2028,2024,occupied
halloc-00049,STU-02840,hrm-0021,hblk-boys-a,BA-F1R09,2023-2027,2023,occupied
halloc-00050,STU-01374,hrm-0021,hblk-boys-a,BA-F1R09,2025-2029,2025,occupied
halloc-00051,STU-03189,hrm-0021,hblk-boys-a,BA-F1R09,2023-2027,2023,occupied
halloc-00052,STU-02477,hrm-0022,hblk-boys-a,BA-F1R10,2023-2027,2023,occupied
halloc-00053,STU-00212,hrm-0022,hblk-boys-a,BA-F1R10,2023-2027,2023,occupied
halloc-00054,STU-00081,hrm-0022,hblk-boys-a,BA-F1R10,2022-2026,2022,occupied
halloc-00055,STU-01003,hrm-0023,hblk-boys-a,BA-F1R01,2022-2026,2022,occupied
halloc-00056,STU-00609,hrm-0023,hblk-boys-a,BA-F1R01,2023-2027,2023,occupied
halloc-00057,STU-01125,hrm-0023,hblk-boys-a,BA-F1R01,2023-2027,2023,occupied
halloc-00058,STU-00258,hrm-0023,hblk-boys-a,BA-F1R01,2024-2028,2024,occupied
halloc-00059,STU-00613,hrm-0024,hblk-boys-a,BA-F1R02,2023-2027,2023,occupied
halloc-00060,STU-00184,hrm-0024,hblk-boys-a,BA-F1R02,2023-2027,2023,occupied
halloc-00061,STU-00469,hrm-0024,hblk-boys-a,BA-F1R02,2025-2029,2025,occupied
halloc-00062,STU-00748,hrm-0024,hblk-boys-a,BA-F1R02,2024-2028,2024,occupied
halloc-00063,STU-00087,hrm-0025,hblk-boys-a,BA-F1R03,2022-2026,2022,occupied
halloc-00064,STU-00132,hrm-0025,hblk-boys-a,BA-F1R03,2023-2027,2023,occupied
halloc-00065,STU-02811,hrm-0025,hblk-boys-a,BA-F1R03,2023-2027,2023,occupied
halloc-00066,STU-02321,hrm-0025,hblk-boys-a,BA-F1R03,2025-2029,2025,occupied
halloc-00067,STU-00828,hrm-0026,hblk-boys-a,BA-F1R04,2024-2028,2024,occupied
halloc-00068,STU-02520,hrm-0026,hblk-boys-a,BA-F1R04,2023-2027,2023,occupied
halloc-00069,STU-02773,hrm-0026,hblk-boys-a,BA-F1R04,2023-2027,2023,occupied
halloc-00070,STU-01933,hrm-0026,hblk-boys-a,BA-F1R04,2022-2026,2022,occupied
halloc-00071,STU-02282,hrm-0027,hblk-boys-a,BA-F1R05,2025-2029,2025,occupied
halloc-00072,STU-01692,hrm-0027,hblk-boys-a,BA-F1R05,2022-2026,2022,occupied
halloc-00073,STU-02775,hrm-0027,hblk-boys-a,BA-F1R05,2023-2027,2023,occupied
halloc-00074,STU-02697,hrm-0027,hblk-boys-a,BA-F1R05,2022-2026,2022,occupied
halloc-00075,STU-01669,hrm-0028,hblk-boys-a,BA-F1R06,2025-2029,2025,occupied
halloc-00076,STU-02759,hrm-0028,hblk-boys-a,BA-F1R06,2022-2026,2022,occupied
halloc-00077,STU-01241,hrm-0028,hblk-boys-a,BA-F1R06,2024-2028,2024,occupied
halloc-00078,STU-00147,hrm-0028,hblk-boys-a,BA-F1R06,2023-2027,2023,occupied
halloc-00079,STU-02998,hrm-0029,hblk-boys-a,BA-F2R01,2024-2028,2024,occupied
halloc-00080,STU-01298,hrm-0029,hblk-boys-a,BA-F2R01,2024-2028,2024,occupied
halloc-00081,STU-01767,hrm-0030,hblk-boys-a,BA-F2R02,2023-2027,2023,occupied
halloc-00082,STU-00639,hrm-0030,hblk-boys-a,BA-F2R02,2023-2027,2023,occupied
halloc-00083,STU-01599,hrm-0031,hblk-boys-a,BA-F2R03,2024-2028,2024,occupied
halloc-00084,STU-01854,hrm-0031,hblk-boys-a,BA-F2R03,2024-2028,2024,occupied
halloc-00085,STU-02654,hrm-0032,hblk-boys-a,BA-F2R04,2022-2026,2022,occupied
halloc-00086,STU-02622,hrm-0032,hblk-boys-a,BA-F2R04,2025-2029,2025,occupied
halloc-00087,STU-02563,hrm-0033,hblk-boys-a,BA-F2R05,2024-2028,2024,occupied
halloc-00088,STU-02837,hrm-0033,hblk-boys-a,BA-F2R05,2023-2027,2023,occupied
halloc-00089,STU-02284,hrm-0034,hblk-boys-a,BA-F2R06,2025-2029,2025,occupied
halloc-00090,STU-01382,hrm-0034,hblk-boys-a,BA-F2R06,2025-2029,2025,occupied
halloc-00091,STU-00246,hrm-0035,hblk-boys-a,BA-F2R07,2024-2028,2024,occupied
halloc-00092,STU-01640,hrm-0035,hblk-boys-a,BA-F2R07,2025-2029,2025,occupied
halloc-00093,STU-02416,hrm-0036,hblk-boys-a,BA-F2R08,2022-2026,2022,occupied
halloc-00094,STU-02159,hrm-0036,hblk-boys-a,BA-F2R08,2023-2027,2023,occupied
halloc-00095,STU-00326,hrm-0037,hblk-boys-a,BA-F2R09,2024-2028,2024,occupied
halloc-00096,STU-00322,hrm-0037,hblk-boys-a,BA-F2R09,2024-2028,2024,occupied
halloc-00097,STU-01419,hrm-0038,hblk-boys-a,BA-F2R10,2025-2029,2025,occupied
halloc-00098,STU-00225,hrm-0038,hblk-boys-a,BA-F2R10,2023-2027,2023,occupied
halloc-00099,STU-00841,hrm-0039,hblk-boys-a,BA-F2R11,2025-2029,2025,occupied
halloc-00100,STU-03353,hrm-0039,hblk-boys-a,BA-F2R11,2025-2029,2025,occupied
halloc-00101,STU-02784,hrm-0040,hblk-boys-a,BA-F2R12,2023-2027,2023,occupied
halloc-00102,STU-01492,hrm-0040,hblk-boys-a,BA-F2R12,2022-2026,2022,occupied
halloc-00103,STU-03071,hrm-0041,hblk-boys-a,BA-F2R01,2025-2029,2025,occupied
halloc-00104,STU-02367,hrm-0041,hblk-boys-a,BA-F2R01,2025-2029,2025,occupied
halloc-00105,STU-01674,hrm-0041,hblk-boys-a,BA-F2R01,2025-2029,2025,occupied
halloc-00106,STU-00730,hrm-0042,hblk-boys-a,BA-F2R02,2024-2028,2024,occupied
halloc-00107,STU-02918,hrm-0042,hblk-boys-a,BA-F2R02,2024-2028,2024,occupied
halloc-00108,STU-03206,hrm-0042,hblk-boys-a,BA-F2R02,2023-2027,2023,occupied
halloc-00109,STU-02788,hrm-0043,hblk-boys-a,BA-F2R03,2023-2027,2023,occupied
halloc-00110,STU-00802,hrm-0043,hblk-boys-a,BA-F2R03,2024-2028,2024,occupied
halloc-00111,STU-03122,hrm-0043,hblk-boys-a,BA-F2R03,2022-2026,2022,occupied
halloc-00112,STU-00284,hrm-0044,hblk-boys-a,BA-F2R04,2024-2028,2024,occupied
halloc-00113,STU-01292,hrm-0044,hblk-boys-a,BA-F2R04,2024-2028,2024,occupied
halloc-00114,STU-00692,hrm-0044,hblk-boys-a,BA-F2R04,2023-2027,2023,occupied
halloc-00115,STU-02679,hrm-0045,hblk-boys-a,BA-F2R05,2022-2026,2022,occupied
halloc-00116,STU-02465,hrm-0045,hblk-boys-a,BA-F2R05,2023-2027,2023,occupied
halloc-00117,STU-02133,hrm-0045,hblk-boys-a,BA-F2R05,2023-2027,2023,occupied
halloc-00118,STU-03208,hrm-0046,hblk-boys-a,BA-F2R06,2023-2027,2023,occupied
halloc-00119,STU-02929,hrm-0046,hblk-boys-a,BA-F2R06,2024-2028,2024,occupied
halloc-00120,STU-01700,hrm-0046,hblk-boys-a,BA-F2R06,2022-2026,2022,occupied
halloc-00121,STU-01615,hrm-0047,hblk-boys-a,BA-F2R07,2024-2028,2024,occupied
halloc-00122,STU-02741,hrm-0047,hblk-boys-a,BA-F2R07,2022-2026,2022,occupied
halloc-00123,STU-01386,hrm-0047,hblk-boys-a,BA-F2R07,2025-2029,2025,occupied
halloc-00124,STU-03301,hrm-0048,hblk-boys-a,BA-F2R08,2025-2029,2025,occupied
halloc-00125,STU-01057,hrm-0048,hblk-boys-a,BA-F2R08,2022-2026,2022,occupied
halloc-00126,STU-00945,hrm-0048,hblk-boys-a,BA-F2R08,2025-2029,2025,occupied
halloc-00127,STU-02777,hrm-0049,hblk-boys-a,BA-F2R09,2023-2027,2023,occupied
halloc-00128,STU-01844,hrm-0049,hblk-boys-a,BA-F2R09,2024-2028,2024,occupied
halloc-00129,STU-00568,hrm-0049,hblk-boys-a,BA-F2R09,2022-2026,2022,occupied
halloc-00130,STU-01986,hrm-0050,hblk-boys-a,BA-F2R10,2022-2026,2022,occupied
halloc-00131,STU-02441,hrm-0050,hblk-boys-a,BA-F2R10,2022-2026,2022,occupied
halloc-00132,STU-00619,hrm-0050,hblk-boys-a,BA-F2R10,2023-2027,2023,occupied
halloc-00133,STU-02555,hrm-0051,hblk-boys-a,BA-F2R01,2024-2028,2024,occupied
halloc-00134,STU-02558,hrm-0051,hblk-boys-a,BA-F2R01,2024-2028,2024,occupied
halloc-00135,STU-00061,hrm-0051,hblk-boys-a,BA-F2R01,2022-2026,2022,occupied
halloc-00136,STU-03269,hrm-0051,hblk-boys-a,BA-F2R01,2024-2028,2024,occupied
halloc-00137,STU-01524,hrm-0052,hblk-boys-a,BA-F2R02,2023-2027,2023,occupied
halloc-00138,STU-00559,hrm-0052,hblk-boys-a,BA-F2R02,2022-2026,2022,occupied
halloc-00139,STU-01871,hrm-0052,hblk-boys-a,BA-F2R02,2025-2029,2025,occupied
halloc-00140,STU-02600,hrm-0052,hblk-boys-a,BA-F2R02,2025-2029,2025,occupied
halloc-00141,STU-02232,hrm-0053,hblk-boys-a,BA-F2R03,2024-2028,2024,occupied
halloc-00142,STU-01018,hrm-0053,hblk-boys-a,BA-F2R03,2022-2026,2022,occupied
halloc-00143,STU-02501,hrm-0053,hblk-boys-a,BA-F2R03,2023-2027,2023,occupied
halloc-00144,STU-00699,hrm-0053,hblk-boys-a,BA-F2R03,2023-2027,2023,occupied
halloc-00145,STU-02193,hrm-0054,hblk-boys-a,BA-F2R04,2024-2028,2024,occupied
halloc-00146,STU-01746,hrm-0054,hblk-boys-a,BA-F2R04,2023-2027,2023,occupied
halloc-00147,STU-02977,hrm-0054,hblk-boys-a,BA-F2R04,2024-2028,2024,occupied
halloc-00148,STU-03266,hrm-0054,hblk-boys-a,BA-F2R04,2024-2028,2024,occupied
halloc-00149,STU-02989,hrm-0055,hblk-boys-a,BA-F2R05,2024-2028,2024,occupied
halloc-00150,STU-03105,hrm-0055,hblk-boys-a,BA-F2R05,2025-2029,2025,occupied
halloc-00151,STU-01131,hrm-0055,hblk-boys-a,BA-F2R05,2023-2027,2023,occupied
halloc-00152,STU-01039,hrm-0055,hblk-boys-a,BA-F2R05,2022-2026,2022,occupied
halloc-00153,STU-01799,hrm-0056,hblk-boys-a,BA-F2R06,2023-2027,2023,occupied
halloc-00154,STU-03188,hrm-0056,hblk-boys-a,BA-F2R06,2023-2027,2023,occupied
halloc-00155,STU-01182,hrm-0056,hblk-boys-a,BA-F2R06,2023-2027,2023,occupied
halloc-00156,STU-03170,hrm-0056,hblk-boys-a,BA-F2R06,2022-2026,2022,occupied
halloc-00157,STU-00208,hrm-0057,hblk-boys-a,BA-F3R01,2023-2027,2023,occupied
halloc-00158,STU-00136,hrm-0057,hblk-boys-a,BA-F3R01,2023-2027,2023,occupied
halloc-00159,STU-02689,hrm-0058,hblk-boys-a,BA-F3R02,2022-2026,2022,occupied
halloc-00160,STU-01774,hrm-0058,hblk-boys-a,BA-F3R02,2023-2027,2023,occupied
halloc-00161,STU-01625,hrm-0059,hblk-boys-a,BA-F3R03,2025-2029,2025,occupied
halloc-00162,STU-01637,hrm-0059,hblk-boys-a,BA-F3R03,2025-2029,2025,occupied
halloc-00163,STU-00484,hrm-0060,hblk-boys-a,BA-F3R04,2022-2026,2022,occupied
halloc-00164,STU-03073,hrm-0060,hblk-boys-a,BA-F3R04,2025-2029,2025,occupied
halloc-00165,STU-01378,hrm-0061,hblk-boys-a,BA-F3R05,2025-2029,2025,occupied
halloc-00166,STU-01601,hrm-0061,hblk-boys-a,BA-F3R05,2024-2028,2024,occupied
halloc-00167,STU-02055,hrm-0062,hblk-boys-a,BA-F3R06,2023-2027,2023,occupied
halloc-00168,STU-00371,hrm-0062,hblk-boys-a,BA-F3R06,2025-2029,2025,occupied
halloc-00169,STU-02503,hrm-0063,hblk-boys-a,BA-F3R07,2023-2027,2023,occupied
halloc-00170,STU-01581,hrm-0063,hblk-boys-a,BA-F3R07,2024-2028,2024,occupied
halloc-00171,STU-00727,hrm-0064,hblk-boys-a,BA-F3R08,2024-2028,2024,occupied
halloc-00172,STU-02395,hrm-0064,hblk-boys-a,BA-F3R08,2025-2029,2025,occupied
halloc-00173,STU-00601,hrm-0065,hblk-boys-a,BA-F3R09,2023-2027,2023,occupied
halloc-00174,STU-02803,hrm-0065,hblk-boys-a,BA-F3R09,2023-2027,2023,occupied
halloc-00175,STU-01231,hrm-0066,hblk-boys-a,BA-F3R10,2024-2028,2024,occupied
halloc-00176,STU-01860,hrm-0066,hblk-boys-a,BA-F3R10,2024-2028,2024,occupied
halloc-00177,STU-00432,hrm-0067,hblk-boys-a,BA-F3R11,2025-2029,2025,occupied
halloc-00178,STU-00237,hrm-0067,hblk-boys-a,BA-F3R11,2023-2027,2023,occupied
halloc-00179,STU-01693,hrm-0068,hblk-boys-a,BA-F3R12,2022-2026,2022,occupied
halloc-00180,STU-02466,hrm-0068,hblk-boys-a,BA-F3R12,2023-2027,2023,occupied
halloc-00181,STU-00012,hrm-0069,hblk-boys-a,BA-F3R01,2022-2026,2022,occupied
halloc-00182,STU-03340,hrm-0069,hblk-boys-a,BA-F3R01,2025-2029,2025,occupied
halloc-00183,STU-02122,hrm-0069,hblk-boys-a,BA-F3R01,2023-2027,2023,occupied
halloc-00184,STU-02596,hrm-0070,hblk-boys-a,BA-F3R02,2025-2029,2025,occupied
halloc-00185,STU-02365,hrm-0070,hblk-boys-a,BA-F3R02,2025-2029,2025,occupied
halloc-00186,STU-00493,hrm-0070,hblk-boys-a,BA-F3R02,2022-2026,2022,occupied
halloc-00187,STU-00695,hrm-0071,hblk-boys-a,BA-F3R03,2023-2027,2023,occupied
halloc-00188,STU-01560,hrm-0071,hblk-boys-a,BA-F3R03,2023-2027,2023,occupied
halloc-00189,STU-02198,hrm-0071,hblk-boys-a,BA-F3R03,2024-2028,2024,occupied
halloc-00190,STU-03315,hrm-0072,hblk-boys-a,BA-F3R04,2025-2029,2025,occupied
halloc-00191,STU-00433,hrm-0072,hblk-boys-a,BA-F3R04,2025-2029,2025,occupied
halloc-00192,STU-00726,hrm-0072,hblk-boys-a,BA-F3R04,2024-2028,2024,occupied
halloc-00193,STU-01078,hrm-0073,hblk-boys-a,BA-F3R05,2022-2026,2022,occupied
halloc-00194,STU-01957,hrm-0073,hblk-boys-a,BA-F3R05,2022-2026,2022,occupied
halloc-00195,STU-00206,hrm-0073,hblk-boys-a,BA-F3R05,2023-2027,2023,occupied
halloc-00196,STU-01598,hrm-0074,hblk-boys-a,BA-F3R06,2024-2028,2024,occupied
halloc-00197,STU-01687,hrm-0074,hblk-boys-a,BA-F3R06,2022-2026,2022,occupied
halloc-00198,STU-03064,hrm-0074,hblk-boys-a,BA-F3R06,2025-2029,2025,occupied
halloc-00199,STU-01540,hrm-0075,hblk-boys-a,BA-F3R07,2023-2027,2023,occupied
halloc-00200,STU-01280,hrm-0075,hblk-boys-a,BA-F3R07,2024-2028,2024,occupied
halloc-00201,STU-01446,hrm-0075,hblk-boys-a,BA-F3R07,2022-2026,2022,occupied
halloc-00202,STU-00898,hrm-0076,hblk-boys-a,BA-F3R08,2025-2029,2025,occupied
halloc-00203,STU-03164,hrm-0076,hblk-boys-a,BA-F3R08,2022-2026,2022,occupied
halloc-00204,STU-00263,hrm-0076,hblk-boys-a,BA-F3R08,2024-2028,2024,occupied
halloc-00205,STU-01697,hrm-0077,hblk-boys-a,BA-F3R09,2022-2026,2022,occupied
halloc-00206,STU-01677,hrm-0077,hblk-boys-a,BA-F3R09,2025-2029,2025,occupied
halloc-00207,STU-02255,hrm-0077,hblk-boys-a,BA-F3R09,2024-2028,2024,occupied
halloc-00208,STU-02157,hrm-0078,hblk-boys-a,BA-F3R10,2023-2027,2023,occupied
halloc-00209,STU-00202,hrm-0078,hblk-boys-a,BA-F3R10,2023-2027,2023,occupied
halloc-00210,STU-01290,hrm-0078,hblk-boys-a,BA-F3R10,2024-2028,2024,occupied
halloc-00211,STU-01245,hrm-0079,hblk-boys-a,BA-F3R01,2024-2028,2024,occupied
halloc-00212,STU-03008,hrm-0079,hblk-boys-a,BA-F3R01,2025-2029,2025,occupied
halloc-00213,STU-01843,hrm-0079,hblk-boys-a,BA-F3R01,2024-2028,2024,occupied
halloc-00214,STU-00397,hrm-0079,hblk-boys-a,BA-F3R01,2025-2029,2025,occupied
halloc-00215,STU-02311,hrm-0080,hblk-boys-a,BA-F3R02,2025-2029,2025,occupied
halloc-00216,STU-03239,hrm-0080,hblk-boys-a,BA-F3R02,2023-2027,2023,occupied
halloc-00217,STU-01818,hrm-0080,hblk-boys-a,BA-F3R02,2024-2028,2024,occupied
halloc-00218,STU-01714,hrm-0080,hblk-boys-a,BA-F3R02,2022-2026,2022,occupied
halloc-00219,STU-02573,hrm-0081,hblk-boys-a,BA-F3R03,2024-2028,2024,occupied
halloc-00220,STU-00916,hrm-0081,hblk-boys-a,BA-F3R03,2025-2029,2025,occupied
halloc-00221,STU-01775,hrm-0081,hblk-boys-a,BA-F3R03,2023-2027,2023,occupied
halloc-00222,STU-02058,hrm-0081,hblk-boys-a,BA-F3R03,2023-2027,2023,occupied
halloc-00223,STU-00103,hrm-0082,hblk-boys-a,BA-F3R04,2022-2026,2022,occupied
halloc-00224,STU-01389,hrm-0082,hblk-boys-a,BA-F3R04,2025-2029,2025,occupied
halloc-00225,STU-02781,hrm-0082,hblk-boys-a,BA-F3R04,2023-2027,2023,occupied
halloc-00226,STU-01624,hrm-0082,hblk-boys-a,BA-F3R04,2025-2029,2025,occupied
halloc-00227,STU-02659,hrm-0083,hblk-boys-a,BA-F3R05,2022-2026,2022,occupied
halloc-00228,STU-02195,hrm-0083,hblk-boys-a,BA-F3R05,2024-2028,2024,occupied
halloc-00229,STU-02010,hrm-0083,hblk-boys-a,BA-F3R05,2022-2026,2022,occupied
halloc-00230,STU-01200,hrm-0083,hblk-boys-a,BA-F3R05,2023-2027,2023,occupied
halloc-00231,STU-00838,hrm-0084,hblk-boys-a,BA-F3R06,2024-2028,2024,occupied
halloc-00232,STU-02785,hrm-0084,hblk-boys-a,BA-F3R06,2023-2027,2023,occupied
halloc-00233,STU-00489,hrm-0084,hblk-boys-a,BA-F3R06,2022-2026,2022,occupied
halloc-00234,STU-03050,hrm-0084,hblk-boys-a,BA-F3R06,2025-2029,2025,occupied
halloc-00235,STU-00792,hrm-0085,hblk-boys-a,BA-F4R01,2024-2028,2024,occupied
halloc-00236,STU-03253,hrm-0085,hblk-boys-a,BA-F4R01,2024-2028,2024,occupied
halloc-00237,STU-03147,hrm-0086,hblk-boys-a,BA-F4R02,2022-2026,2022,occupied
halloc-00238,STU-02018,hrm-0086,hblk-boys-a,BA-F4R02,2022-2026,2022,occupied
halloc-00239,STU-00631,hrm-0087,hblk-boys-a,BA-F4R03,2023-2027,2023,occupied
halloc-00240,STU-01954,hrm-0087,hblk-boys-a,BA-F4R03,2022-2026,2022,occupied
halloc-00241,STU-02262,hrm-0088,hblk-boys-a,BA-F4R04,2024-2028,2024,occupied
halloc-00242,STU-01332,hrm-0088,hblk-boys-a,BA-F4R04,2025-2029,2025,occupied
halloc-00243,STU-03072,hrm-0089,hblk-boys-a,BA-F4R05,2025-2029,2025,occupied
halloc-00244,STU-02102,hrm-0089,hblk-boys-a,BA-F4R05,2023-2027,2023,occupied
halloc-00245,STU-01186,hrm-0090,hblk-boys-a,BA-F4R06,2023-2027,2023,occupied
halloc-00246,STU-02333,hrm-0090,hblk-boys-a,BA-F4R06,2025-2029,2025,occupied
halloc-00247,STU-02742,hrm-0091,hblk-boys-a,BA-F4R07,2022-2026,2022,occupied
halloc-00248,STU-03360,hrm-0091,hblk-boys-a,BA-F4R07,2025-2029,2025,occupied
halloc-00249,STU-01556,hrm-0092,hblk-boys-a,BA-F4R08,2023-2027,2023,occupied
halloc-00250,STU-01685,hrm-0092,hblk-boys-a,BA-F4R08,2022-2026,2022,occupied
halloc-00251,STU-01904,hrm-0093,hblk-boys-a,BA-F4R09,2025-2029,2025,occupied
halloc-00252,STU-00381,hrm-0093,hblk-boys-a,BA-F4R09,2025-2029,2025,occupied
halloc-00253,STU-03184,hrm-0094,hblk-boys-a,BA-F4R10,2023-2027,2023,occupied
halloc-00254,STU-02233,hrm-0094,hblk-boys-a,BA-F4R10,2024-2028,2024,occupied
halloc-00255,STU-00112,hrm-0095,hblk-boys-a,BA-F4R11,2022-2026,2022,occupied
halloc-00256,STU-02545,hrm-0095,hblk-boys-a,BA-F4R11,2024-2028,2024,occupied
halloc-00257,STU-01302,hrm-0096,hblk-boys-a,BA-F4R12,2024-2028,2024,occupied
halloc-00258,STU-00024,hrm-0096,hblk-boys-a,BA-F4R12,2022-2026,2022,occupied
halloc-00259,STU-00691,hrm-0097,hblk-boys-a,BA-F4R01,2023-2027,2023,occupied
halloc-00260,STU-01266,hrm-0097,hblk-boys-a,BA-F4R01,2024-2028,2024,occupied
halloc-00261,STU-00736,hrm-0097,hblk-boys-a,BA-F4R01,2024-2028,2024,occupied
halloc-00262,STU-02042,hrm-0098,hblk-boys-a,BA-F4R02,2023-2027,2023,occupied
halloc-00263,STU-00696,hrm-0098,hblk-boys-a,BA-F4R02,2023-2027,2023,occupied
halloc-00264,STU-03345,hrm-0098,hblk-boys-a,BA-F4R02,2025-2029,2025,occupied
halloc-00265,STU-00256,hrm-0099,hblk-boys-a,BA-F4R03,2024-2028,2024,occupied
halloc-00266,STU-01943,hrm-0099,hblk-boys-a,BA-F4R03,2022-2026,2022,occupied
halloc-00267,STU-02877,hrm-0099,hblk-boys-a,BA-F4R03,2023-2027,2023,occupied
halloc-00268,STU-03226,hrm-0100,hblk-boys-a,BA-F4R04,2023-2027,2023,occupied
halloc-00269,STU-00160,hrm-0100,hblk-boys-a,BA-F4R04,2023-2027,2023,occupied
halloc-00270,STU-01769,hrm-0100,hblk-boys-a,BA-F4R04,2023-2027,2023,occupied
halloc-00271,STU-03252,hrm-0101,hblk-boys-a,BA-F4R05,2024-2028,2024,occupied
halloc-00272,STU-00763,hrm-0101,hblk-boys-a,BA-F4R05,2024-2028,2024,occupied
halloc-00273,STU-02407,hrm-0101,hblk-boys-a,BA-F4R05,2022-2026,2022,occupied
halloc-00274,STU-01808,hrm-0102,hblk-boys-a,BA-F4R06,2024-2028,2024,occupied
halloc-00275,STU-03078,hrm-0102,hblk-boys-a,BA-F4R06,2025-2029,2025,occupied
halloc-00276,STU-02438,hrm-0102,hblk-boys-a,BA-F4R06,2022-2026,2022,occupied
halloc-00277,STU-02604,hrm-0103,hblk-boys-a,BA-F4R07,2025-2029,2025,occupied
halloc-00278,STU-02008,hrm-0103,hblk-boys-a,BA-F4R07,2022-2026,2022,occupied
