id,college_id,student_id,scholarship_type,amount,semester,academic_year,disbursement_date,status,payment_mode,reference_number
sch-000023,college-aits-001,STU-00006,SC/ST Post-Matric,45000.0,2,2022-2023,2023-03-20,disbursed,Direct Benefit Transfer,SCH279451
sch-000024,college-aits-001,STU-00006,SC/ST Post-Matric,45000.0,3,2023-2024,2023-11-24,disbursed,NEFT,SCH271339
sch-000025,college-aits-001,STU-00006,SC/ST Post-Matric,45000.0,4,2023-2024,2024-04-13,disbursed,RTGS,SCH771088
sch-000026,college-aits-001,STU-00006,SC/ST Post-Matric,45000.0,5,2024-2025,2024-11-18,disbursed,NEFT,SCH817870
sch-000027,college-aits-001,STU-00006,SC/ST Post-Matric,45000.0,6,2024-2025,2025-04-27,disbursed,NEFT,SCH340174
sch-000028,college-aits-001,STU-00006,SC/ST Post-Matric,45000.0,7,2025-2026,2025-09-26,disbursed,RTGS,SCH169403
sch-000029,college-aits-001,STU-00007,Merit,10000.0,1,2022-2023,2022-09-19,disbursed,Direct Benefit Transfer,SCH429963
sch-000030,college-aits-001,STU-00007,Merit,10000.0,2,2022-2023,2023-03-21,disbursed,RTGS,SCH514850
sch-000031,college-aits-001,STU-00007,Merit,10000.0,3,2023-2024,2023-11-15,disbursed,NEFT,SCH377746
sch-000032,college-aits-001,STU-00007,Merit,10000.0,4,2023-2024,2024-03-08,disbursed,Direct Benefit Transfer,SCH688637
sch-000033,college-aits-001,STU-00007,Merit,10000.0,5,2024-2025,2024-11-09,disbursed,Direct Benefit Transfer,SCH712982
sch-000034,college-aits-001,STU-00007,Merit,10000.0,6,2024-2025,2025-04-19,disbursed,RTGS,SCH479580
sch-000035,college-aits-001,STU-00007,Merit,10000.0,7,2025-2026,2025-09-05,disbursed,NEFT,SCH892495
sch-000036,college-aits-001,STU-00010,SC/ST Post-Matric,45000.0,1,2022-2023,2022-09-28,disbursed,NEFT,SCH260265
sch-000037,college-aits-001,STU-00010,SC/ST Post-Matric,45000.0,2,2022-2023,2023-05-06,disbursed,Direct Benefit Transfer,SCH542666
sch-000038,college-aits-001,STU-00010,SC/ST Post-Matric,45000.0,3,2023-2024,2023-11-03,disbursed,RTGS,SCH500156
sch-000039,college-aits-001,STU-00010,SC/ST Post-Matric,45000.0,4,2023-2024,2024-05-15,disbursed,Direct Benefit Transfer,SCH363626
sch-000040,college-aits-001,STU-00010,SC/ST Post-Matric,45000.0,5,2024-2025,2024-11-28,disbursed,NEFT,SCH813328
sch-000041,college-aits-001,STU-00010,SC/ST Post-Matric,45000.0,6,2024-2025,2025-05-04,disbursed,Direct Benefit Transfer,SCH663054
sch-000042,college-aits-001,STU-00010,SC/ST Post-Matric,45000.0,7,2025-2026,2025-10-25,disbursed,NEFT,SCH407757
sch-000043,college-aits-001,STU-00011,SC/ST Post-Matric,45000.0,1,2022-2023,2022-10-06,disbursed,RTGS,SCH103402
sch-000044,college-aits-001,STU-00011,SC/ST Post-Matric,45000.0,2,2022-2023,2023-05-24,disbursed,RTGS,SCH624902
sch-000045,college-aits-001,STU-00011,SC/ST Post-Matric,45000.0,3,2023-2024,2023-09-17,disbursed,NEFT,SCH755674
sch-000046,college-aits-001,STU-00011,SC/ST Post-Matric,45000.0,4,2023-2024,2024-04-27,disbursed,Direct Benefit Transfer,SCH632323
sch-000047,college-aits-001,STU-00011,SC/ST Post-Matric,45000.0,5,2024-2025,2024-11-07,disbursed,NEFT,SCH492077
sch-000048,college-aits-001,STU-00011,SC/ST Post-Matric,45000.0,6,2024-2025,2025-03-18,disbursed,Direct Benefit Transfer,SCH100599
sch-000049,college-aits-001,STU-00011,SC/ST Post-Matric,45000.0,7,2025-2026,2025-11-11,disbursed,NEFT,SCH480612
sch-000050,college-aits-001,STU-00013,Merit,10000.0,1,2022-2023,2022-10-08,disbursed,NEFT,SCH352572
sch-000051,college-aits-001,STU-00013,Merit,10000.0,2,2022-2023,2023-05-03,disbursed,NEFT,SCH867460
sch-000052,college-aits-001,STU-00013,Merit,10000.0,3,2023-2024,2023-10-27,disbursed,NEFT,SCH897549
sch-000053,college-aits-001,STU-00013,Merit,10000.0,4,2023-2024,2024-05-25,disbursed,NEFT,SCH234628
sch-000054,college-aits-001,STU-00013,Merit,10000.0,5,2024-2025,2024-11-16,disbursed,Direct Benefit Transfer,SCH273148
sch-000055,college-aits-001,STU-00013,Merit,10000.0,6,2024-2025,2025-04-17,disbursed,Direct Benefit Transfer,SCH543692
sch-000056,college-aits-001,STU-00013,Merit,10000.0,7,2025-2026,2025-09-18,disbursed,Direct Benefit Transfer,SCH310922
sch-000057,college-aits-001,STU-00015,Merit,10000.0,1,2022-2023,2022-11-10,disbursed,RTGS,SCH804314
sch-000058,college-aits-001,STU-00015,Merit,10000.0,2,2022-2023,2023-05-12,disbursed,RTGS,SCH642717
sch-000059,college-aits-001,STU-00015,Merit,10000.0,3,2023-2024,2023-10-04,disbursed,NEFT,SCH335612
sch-000060,college-aits-001,STU-00015,Merit,10000.0,4,2023-2024,2024-03-11,disbursed,NEFT,SCH716886
sch-000061,college-aits-001,STU-00015,Merit,10000.0,5,2024-2025,2024-11-08,disbursed,Direct Benefit Transfer,SCH330914
sch-000062,college-aits-001,STU-00015,Merit,10000.0,6,2024-2025,2025-03-03,disbursed,Direct Benefit Transfer,SCH761759
sch-000063,college-aits-001,STU-00015,Merit,10000.0,7,2025-2026,,pending,NEFT,
sch-000064,college-aits-001,STU-00017,SC/ST Post-Matric,45000.0,1,2022-2023,2022-10-03,disbursed,Direct Benefit Transfer,SCH349565
sch-000065,college-aits-001,STU-00017,SC/ST Post-Matric,45000.0,2,2022-2023,2023-04-22,disbursed,RTGS,SCH324643
sch-000066,college-aits-001,STU-00017,SC/ST Post-Matric,45000.0,3,2023-2024,2023-11-05,disbursed,Direct Benefit Transfer,SCH698782
sch-000067,college-aits-001,STU-00017,SC/ST Post-Matric,45000.0,4,2023-2024,2024-05-16,disbursed,NEFT,SCH922733
sch-000068,college-aits-001,STU-00017,SC/ST Post-Matric,45000.0,5,2024-2025,2024-10-26,disbursed,RTGS,SCH299659
sch-000069,college-aits-001,STU-00017,SC/ST Post-Matric,45000.0,6,2024-2025,2025-03-04,disbursed,Direct Benefit Transfer,SCH551989
sch-000070,college-aits-001,STU-00017,SC/ST Post-Matric,45000.0,7,2025-2026,2025-10-14,disbursed,Direct Benefit Transfer,SCH156802
sch-000071,college-aits-001,STU-00020,Merit,10000.0,1,2022-2023,2022-11-21,disbursed,Direct Benefit Transfer,SCH203198
sch-000072,college-aits-001,STU-00020,Merit,10000.0,2,2022-2023,2023-03-13,disbursed,Direct Benefit Transfer,SCH455784
sch-000073,college-aits-001,STU-00020,Merit,10000.0,3,2023-2024,2023-09-08,disbursed,NEFT,SCH299448
sch-000074,college-aits-001,STU-00020,Merit,10000.0,4,2023-2024,2024-05-15,disbursed,NEFT,SCH542374
sch-000075,college-aits-001,STU-00020,Merit,10000.0,5,2024-2025,2024-09-09,disbursed,RTGS,SCH361941
sch-000076,college-aits-001,STU-00020,Merit,10000.0,6,2024-2025,2025-03-15,disbursed,Direct Benefit Transfer,SCH202664
sch-000077,college-aits-001,STU-00020,Merit,10000.0,7,2025-2026,2025-09-21,disbursed,NEFT,SCH197793
sch-000078,college-aits-001,STU-00021,SC/ST Post-Matric,45000.0,1,2022-2023,2022-09-06,disbursed,RTGS,SCH609231
sch-000079,college-aits-001,STU-00021,SC/ST Post-Matric,45000.0,2,2022-2023,2023-04-07,disbursed,RTGS,SCH161483
sch-000080,college-aits-001,STU-00021,SC/ST Post-Matric,45000.0,3,2023-2024,2023-09-13,disbursed,NEFT,SCH509386
sch-000081,college-aits-001,STU-00021,SC/ST Post-Matric,45000.0,4,2023-2024,2024-04-26,disbursed,RTGS,SCH399105
sch-000082,college-aits-001,STU-00021,SC/ST Post-Matric,45000.0,5,2024-2025,2024-10-23,disbursed,Direct Benefit Transfer,SCH921414
sch-000083,college-aits-001,STU-00021,SC/ST Post-Matric,45000.0,6,2024-2025,2025-05-22,disbursed,Direct Benefit Transfer,SCH610311
sch-000084,college-aits-001,STU-00021,SC/ST Post-Matric,45000.0,7,2025-2026,,pending,NEFT,
sch-000085,college-aits-001,STU-00022,SC/ST Post-Matric,45000.0,1,2022-2023,2022-11-24,disbursed,Direct Benefit Transfer,SCH163918
sch-000086,college-aits-001,STU-00022,SC/ST Post-Matric,45000.0,2,2022-2023,2023-05-11,disbursed,NEFT,SCH152578
sch-000087,college-aits-001,STU-00022,SC/ST Post-Matric,45000.0,3,2023-2024,2023-11-16,disbursed,Direct Benefit Transfer,SCH994141
sch-000088,college-aits-001,STU-00022,SC/ST Post-Matric,45000.0,4,2023-2024,2024-05-06,disbursed,NEFT,SCH632496
sch-000089,college-aits-001,STU-00022,SC/ST Post-Matric,45000.0,5,2024-2025,2024-09-28,disbursed,NEFT,SCH171849
sch-000090,college-aits-001,STU-00022,SC/ST Post-Matric,45000.0,6,2024-2025,2025-05-03,disbursed,Direct Benefit Transfer,SCH346629
sch-000091,college-aits-001,STU-00022,SC/ST Post-Matric,45000.0,7,2025-2026,2025-10-04,disbursed,Direct Benefit Transfer,SCH358175
sch-000092,college-aits-001,STU-00024,SC/ST Post-Matric,45000.0,1,2022-2023,2022-11-20,disbursed,NEFT,SCH749468
sch-000093,college-aits-001,STU-00024,SC/ST Post-Matric,45000.0,2,2022-2023,2023-03-14,disbursed,Direct Benefit Transfer,SCH712024
sch-000094,college-aits-001,STU-00024,SC/ST Post-Matric,45000.0,3,2023-2024,2023-11-17,disbursed,RTGS,SCH373432
sch-000095,college-aits-001,STU-00024,SC/ST Post-Matric,45000.0,4,2023-2024,2024-03-22,disbursed,Direct Benefit Transfer,SCH429445
sch-000096,college-aits-001,STU-00024,SC/ST Post-Matric,45000.0,5,2024-2025,2024-09-09,disbursed,RTGS,SCH237235
sch-000097,college-aits-001,STU-00024,SC/ST Post-Matric,45000.0,6,2024-2025,2025-05-21,disbursed,RTGS,SCH579434
sch-000098,college-aits-001,STU-00024,SC/ST Post-Matric,45000.0,7,2025-2026,2025-10-25,disbursed,NEFT,SCH580547
sch-000099,college-aits-001,STU-00026,Merit,10000.0,1,2022-2023,2022-11-19,disbursed,NEFT,SCH176819
sch-000100,college-aits-001,STU-00026,Merit,10000.0,2,2022-2023,2023-05-07,disbursed,Direct Benefit Transfer,SCH378082
sch-000101,college-aits-001,STU-00026,Merit,10000.0,3,2023-2024,2023-09-12,disbursed,NEFT,SCH356150
sch-000102,college-aits-001,STU-00026,Merit,10000.0,4,2023-2024,2024-04-10,disbursed,NEFT,SCH559469
sch-000103,college-aits-001,STU-00026,Merit,10000.0,5,2024-2025,2024-11-23,disbursed,RTGS,SCH741390
sch-000104,college-aits-001,STU-00026,Merit,10000.0,6,2024-2025,2025-05-17,disbursed,NEFT,SCH800305
sch-000105,college-aits-001,STU-00026,Merit,10000.0,7,2025-2026,2025-11-10,disbursed,NEFT,SCH240814
sch-000106,college-aits-001,STU-00027,Merit,10000.0,1,2022-2023,2022-10-04,disbursed,NEFT,SCH878480
sch-000107,college-aits-001,STU-00027,Merit,10000.0,2,2022-2023,2023-05-05,disbursed,RTGS,SCH395442
sch-000108,college-aits-001,STU-00027,Merit,10000.0,3,2023-2024,2023-11-07,disbursed,Direct Benefit Transfer,SCH459536
sch-000109,college-aits-001,STU-00027,Merit,10000.0,4,2023-2024,2024-03-22,disbursed,Direct Benefit Transfer,SCH994343
sch-000110,college-aits-001,STU-00027,Merit,10000.0,5,2024-2025,2024-10-17,disbursed,RTGS,SCH363319
sch-000111,college-aits-001,STU-00027,Merit,10000.0,6,2024-2025,2025-03-03,disbursed,Direct Benefit Transfer,SCH544151
sch-000112,college-aits-001,STU-00027,Merit,10000.0,7,2025-2026,,pending,NEFT,
sch-000113,college-aits-001,STU-00028,Merit,10000.0,1,2022-2023,2022-11-09,disbursed,NEFT,SCH877236
sch-000114,college-aits-001,STU-00028,Merit,10000.0,2,2022-2023,2023-04-18,disbursed,Direct Benefit Transfer,SCH548462
sch-000115,college-aits-001,STU-00028,Merit,10000.0,3,2023-2024,2023-11-01,disbursed,NEFT,SCH178898
sch-000116,college-aits-001,STU-00028,Merit,10000.0,4,2023-2024,2024-05-05,disbursed,Direct Benefit Transfer,SCH137778
sch-000117,college-aits-001,STU-00028,Merit,10000.0,5,2024-2025,2024-10-19,disbursed,Direct Benefit Transfer,SCH255287
sch-000118,college-aits-001,STU-00028,Merit,10000.0,6,2024-2025,2025-04-05,disbursed,NEFT,SCH423232
sch-000119,college-aits-001,STU-00028,Merit,10000.0,7,2025-2026,2025-10-26,disbursed,NEFT,SCH475190
sch-000120,college-aits-001,STU-00029,SC/ST Post-Matric,45000.0,1,2022-2023,2022-09-22,disbursed,NEFT,SCH799330
sch-000121,college-aits-001,STU-00029,SC/ST Post-Matric,45000.0,2,2022-2023,2023-03-12,disbursed,Direct Benefit Transfer,SCH526117
sch-000122,college-aits-001,STU-00029,SC/ST Post-Matric,45000.0,3,2023-2024,2023-11-24,disbursed,NEFT,SCH348237
sch-000123,college-aits-001,STU-00029,SC/ST Post-Matric,45000.0,4,2023-2024,2024-03-26,disbursed,NEFT,SCH532322
sch-000124,college-aits-001,STU-00029,SC/ST Post-Matric,45000.0,5,2024-2025,2024-09-06,disbursed,Direct Benefit Transfer,SCH448321
sch-000125,college-aits-001,STU-00029,SC/ST Post-Matric,45000.0,6,2024-2025,2025-04-26,disbursed,Direct Benefit Transfer,SCH870763
sch-000126,college-aits-001,STU-00029,SC/ST Post-Matric,45000.0,7,2025-2026,,pending,Direct Benefit Transfer,
sch-000127,college-aits-001,STU-00031,SC/ST Post-Matric,45000.0,1,2022-2023,2022-09-13,disbursed,NEFT,SCH593554
sch-000128,college-aits-001,STU-00031,SC/ST Post-Matric,45000.0,2,2022-2023,2023-03-07,disbursed,RTGS,SCH466643
sch-000129,college-aits-001,STU-00031,SC/ST Post-Matric,45000.0,3,2023-2024,2023-10-27,disbursed,NEFT,SCH333752
sch-000130,college-aits-001,STU-00031,SC/ST Post-Matric,45000.0,4,2023-2024,2024-03-22,disbursed,NEFT,SCH517821
sch-000131,college-aits-001,STU-00031,SC/ST Post-Matric,45000.0,5,2024-2025,2024-10-09,disbursed,NEFT,SCH910891
sch-000132,college-aits-001,STU-00031,SC/ST Post-Matric,45000.0,6,2024-2025,2025-04-12,disbursed,Direct Benefit Transfer,SCH634150
sch-000133,college-aits-001,STU-00031,SC/ST Post-Matric,45000.0,7,2025-2026,2025-10-22,disbursed,Direct Benefit Transfer,SCH447235
sch-000134,college-aits-001,STU-00032,Merit,10000.0,1,2022-2023,2022-09-04,disbursed,RTGS,SCH287241
sch-000135,college-aits-001,STU-00032,Merit,10000.0,2,2022-2023,2023-05-09,disbursed,NEFT,SCH213668
sch-000136,college-aits-001,STU-00032,Merit,10000.0,3,2023-2024,2023-11-14,disbursed,RTGS,SCH863934
sch-000137,college-aits-001,STU-00032,Merit,10000.0,4,2023-2024,2024-04-14,disbursed,Direct Benefit Transfer,SCH636265
sch-000138,college-aits-001,STU-00032,Merit,10000.0,5,2024-2025,2024-09-13,disbursed,Direct Benefit Transfer,SCH299312
sch-000139,college-aits-001,STU-00032,Merit,10000.0,6,2024-2025,2025-04-02,disbursed,Direct Benefit Transfer,SCH557239
sch-000140,college-aits-001,STU-00032,Merit,10000.0,7,2025-2026,2025-09-17,disbursed,Direct Benefit Transfer,SCH820221
sch-000141,college-aits-001,STU-00035,EBC,20000.0,1,2022-2023,2022-11-24,disbursed,Direct Benefit Transfer,SCH803204
sch-000142,college-aits-001,STU-00035,EBC,20000.0,2,2022-2023,2023-03-12,disbursed,RTGS,SCH173372
sch-000143,college-aits-001,STU-00035,EBC,20000.0,3,2023-2024,2023-11-11,disbursed,Direct Benefit Transfer,SCH429164
sch-000144,college-aits-001,STU-00035,EBC,20000.0,4,2023-2024,2024-05-28,disbursed,NEFT,SCH854717
sch-000145,college-aits-001,STU-00035,EBC,20000.0,5,2024-2025,2024-10-17,disbursed,RTGS,SCH799287
sch-000146,college-aits-001,STU-00035,EBC,20000.0,6,2024-2025,2025-04-11,disbursed,RTGS,SCH831076
sch-000147,college-aits-001,STU-00035,EBC,20000.0,7,2025-2026,,pending,RTGS,
sch-000148,college-aits-001,STU-00037,Merit,10000.0,1,2022-2023,2022-11-13,disbursed,Direct Benefit Transfer,SCH884475
sch-000149,college-aits-001,STU-00037,Merit,10000.0,2,2022-2023,2023-03-20,disbursed,Direct Benefit Transfer,SCH415568
sch-000150,college-aits-001,STU-00037,Merit,10000.0,3,2023-2024,2023-10-18,disbursed,NEFT,SCH418635
sch-000151,college-aits-001,STU-00037,Merit,10000.0,4,2023-2024,2024-04-07,disbursed,RTGS,SCH923927
sch-000152,college-aits-001,STU-00037,Merit,10000.0,5,2024-2025,2024-11-20,disbursed,Direct Benefit Transfer,SCH437902
sch-000153,college-aits-001,STU-00037,Merit,10000.0,6,2024-2025,2025-04-15,disbursed,RTGS,SCH808446
sch-000154,college-aits-001,STU-00037,Merit,10000.0,7,2025-2026,2025-09-17,disbursed,Direct Benefit Transfer,SCH277934
sch-000155,college-aits-001,STU-00038,EBC,20000.0,1,2022-2023,2022-11-03,disbursed,RTGS,SCH640490
sch-000156,college-aits-001,STU-00038,EBC,20000.0,2,2022-2023,2023-05-21,disbursed,Direct Benefit Transfer,SCH451470
sch-000157,college-aits-001,STU-00038,EBC,20000.0,3,2023-2024,2023-09-27,disbursed,NEFT,SCH805477
sch-000158,college-aits-001,STU-00038,EBC,20000.0,4,2023-2024,2024-04-08,disbursed,NEFT,SCH254511
sch-000159,college-aits-001,STU-00038,EBC,20000.0,5,2024-2025,2024-09-02,disbursed,NEFT,SCH598216
sch-000160,college-aits-001,STU-00038,EBC,20000.0,6,2024-2025,2025-05-28,disbursed,NEFT,SCH577538
sch-000161,college-aits-001,STU-00038,EBC,20000.0,7,2025-2026,2025-10-21,disbursed,Direct Benefit Transfer,SCH830180
sch-000162,college-aits-001,STU-00039,SC/ST Post-Matric,45000.0,1,2022-2023,2022-10-16,disbursed,RTGS,SCH355836
sch-000163,college-aits-001,STU-00039,SC/ST Post-Matric,45000.0,2,2022-2023,2023-03-21,disbursed,Direct Benefit Transfer,SCH105814
sch-000164,college-aits-001,STU-00039,SC/ST Post-Matric,45000.0,3,2023-2024,2023-09-25,disbursed,RTGS,SCH329471
sch-000165,college-aits-001,STU-00039,SC/ST Post-Matric,45000.0,4,2023-2024,2024-03-26,disbursed,Direct Benefit Transfer,SCH643118
sch-000166,college-aits-001,STU-00039,SC/ST Post-Matric,45000.0,5,2024-2025,2024-10-02,disbursed,Direct Benefit Transfer,SCH361303
sch-000167,college-aits-001,STU-00039,SC/ST Post-Matric,45000.0,6,2024-2025,2025-03-15,disbursed,NEFT,SCH940346
sch-000168,college-aits-001,STU-00039,SC/ST Post-Matric,45000.0,7,2025-2026,2025-10-22,disbursed,Direct Benefit Transfer,SCH724377
sch-000169,college-aits-001,STU-00040,SC/ST Post-Matric,45000.0,1,2022-2023,2022-10-25,disbursed,RTGS,SCH742412
sch-000170,college-aits-001,STU-00040,SC/ST Post-Matric,45000.0,2,2022-2023,2023-05-17,disbursed,RTGS,SCH970914
sch-000171,college-aits-001,STU-00040,SC/ST Post-Matric,45000.0,3,2023-2024,2023-11-15,disbursed,NEFT,SCH879779
sch-000172,college-aits-001,STU-00040,SC/ST Post-Matric,45000.0,4,2023-2024,2024-04-15,disbursed,RTGS,SCH888295
sch-000173,college-aits-001,STU-00040,SC/ST Post-Matric,45000.0,5,2024-2025,2024-09-27,disbursed,Direct Benefit Transfer,SCH390782
sch-000174,college-aits-001,STU-00040,SC/ST Post-Matric,45000.0,6,2024-2025,2025-05-16,disbursed,Direct Benefit Transfer,SCH350867
sch-000175,college-aits-001,STU-00040,SC/ST Post-Matric,45000.0,7,2025-2026,,pending,RTGS,
sch-000176,college-aits-001,STU-00041,Merit,10000.0,1,2022-2023,2022-09-09,disbursed,RTGS,SCH435239
sch-000177,college-aits-001,STU-00041,Merit,10000.0,2,2022-2023,2023-05-03,disbursed,NEFT,SCH258157
sch-000178,college-aits-001,STU-00041,Merit,10000.0,3,2023-2024,2023-09-13,disbursed,Direct Benefit Transfer,SCH260227
sch-000179,college-aits-001,STU-00041,Merit,10000.0,4,2023-2024,2024-05-07,disbursed,NEFT,SCH535020
sch-000180,college-aits-001,STU-00041,Merit,10000.0,5,2024-2025,2024-10-11,disbursed,Direct Benefit Transfer,SCH588557
sch-000181,college-aits-001,STU-00041,Merit,10000.0,6,2024-2025,2025-04-02,disbursed,NEFT,SCH973349
sch-000182,college-aits-001,STU-00041,Merit,10000.0,7,2025-2026,2025-10-13,disbursed,Direct Benefit Transfer,SCH829308
sch-000183,college-aits-001,STU-00043,SC/ST Post-Matric,45000.0,1,2022-2023,2022-09-28,disbursed,Direct Benefit Transfer,SCH498858
sch-000184,college-aits-001,STU-00043,SC/ST Post-Matric,45000.0,2,2022-2023,2023-04-01,disbursed,RTGS,SCH413118
sch-000185,college-aits-001,STU-00043,SC/ST Post-Matric,45000.0,3,2023-2024,2023-10-28,disbursed,RTGS,SCH664365
sch-000186,college-aits-001,STU-00043,SC/ST Post-Matric,45000.0,4,2023-2024,2024-05-24,disbursed,Direct Benefit Transfer,SCH938722
sch-000187,college-aits-001,STU-00043,SC/ST Post-Matric,45000.0,5,2024-2025,2024-11-08,disbursed,RTGS,SCH330080
sch-000188,college-aits-001,STU-00043,SC/ST Post-Matric,45000.0,6,2024-2025,2025-04-14,disbursed,RTGS,SCH130434
sch-000189,college-aits-001,STU-00043,SC/ST Post-Matric,45000.0,7,2025-2026,2025-10-11,disbursed,RTGS,SCH859359
sch-000190,college-aits-001,STU-00045,Merit,10000.0,1,2022-2023,2022-09-27,disbursed,RTGS,SCH233827
sch-000191,college-aits-001,STU-00045,Merit,10000.0,2,2022-2023,2023-05-18,disbursed,NEFT,SCH513160
sch-000192,college-aits-001,STU-00045,Merit,10000.0,3,2023-2024,2023-11-19,disbursed,Direct Benefit Transfer,SCH128418
sch-000193,college-aits-001,STU-00045,Merit,10000.0,4,2023-2024,2024-03-21,disbursed,RTGS,SCH242291
sch-000194,college-aits-001,STU-00045,Merit,10000.0,5,2024-2025,2024-10-06,disbursed,NEFT,SCH372793
sch-000195,college-aits-001,STU-00045,Merit,10000.0,6,2024-2025,2025-04-11,disbursed,NEFT,SCH576786
sch-000196,college-aits-001,STU-00045,Merit,10000.0,7,2025-2026,2025-10-11,disbursed,RTGS,SCH391773
sch-000197,college-aits-001,STU-00046,SC/ST Post-Matric,45000.0,1,2022-2023,2022-10-09,disbursed,NEFT,SCH593152
sch-000198,college-aits-001,STU-00046,SC/ST Post-Matric,45000.0,2,2022-2023,2023-03-24,disbursed,Direct Benefit Transfer,SCH154615
sch-000199,college-aits-001,STU-00046,SC/ST Post-Matric,45000.0,3,2023-2024,2023-10-08,disbursed,Direct Benefit Transfer,SCH171951
sch-000200,college-aits-001,STU-00046,SC/ST Post-Matric,45000.0,4,2023-2024,2024-05-02,disbursed,NEFT,SCH359295
sch-000201,college-aits-001,STU-00046,SC/ST Post-Matric,45000.0,5,2024-2025,2024-09-27,disbursed,NEFT,SCH751517
sch-000202,college-aits-001,STU-00046,SC/ST Post-Matric,45000.0,6,2024-2025,2025-03-08,disbursed,NEFT,SCH596564
sch-000203,college-aits-001,STU-00046,SC/ST Post-Matric,45000.0,7,2025-2026,2025-11-04,disbursed,NEFT,SCH587623
sch-000204,college-aits-001,STU-00047,EBC,20000.0,1,2022-2023,2022-11-09,disbursed,RTGS,SCH275939
sch-000205,college-aits-001,STU-00047,EBC,20000.0,2,2022-2023,2023-05-20,disbursed,Direct Benefit Transfer,SCH853252
sch-000206,college-aits-001,STU-00047,EBC,20000.0,3,2023-2024,2023-09-25,disbursed,NEFT,SCH426147
sch-000207,college-aits-001,STU-00047,EBC,20000.0,4,2023-2024,2024-03-19,disbursed,NEFT,SCH427110
sch-000208,college-aits-001,STU-00047,EBC,20000.0,5,2024-2025,2024-11-22,disbursed,RTGS,SCH515922
sch-000209,college-aits-001,STU-00047,EBC,20000.0,6,2024-2025,2025-05-07,disbursed,NEFT,SCH720859
sch-000210,college-aits-001,STU-00047,EBC,20000.0,7,2025-2026,2025-11-27,disbursed,NEFT,SCH831059
sch-000211,college-aits-001,STU-00049,SC/ST Post-Matric,45000.0,1,2022-2023,2022-10-28,disbursed,Direct Benefit Transfer,SCH729577
sch-000212,college-aits-001,STU-00049,SC/ST Post-Matric,45000.0,2,2022-2023,2023-03-26,disbursed,Direct Benefit Transfer,SCH920652
sch-000213,college-aits-001,STU-00049,SC/ST Post-Matric,45000.0,3,2023-2024,2023-09-12,disbursed,Direct Benefit Transfer,SCH549186
sch-000214,college-aits-001,STU-00049,SC/ST Post-Matric,45000.0,4,2023-2024,2024-05-12,disbursed,NEFT,SCH630538
