id,college_id,co_id,pso_id,co_code,pso_code,strength
copso-000059,aits-hyd-001,co-00039,pso-cse-02,22MA1201.CO4,02,2
copso-000060,aits-hyd-001,co-00040,pso-cse-03,22MA1201.CO5,03,1
copso-000061,aits-hyd-001,co-00041,pso-cse-01,22MA1201.CO6,01,2
copso-000062,aits-hyd-001,co-00042,pso-cse-02,22CH1201.CO1,02,3
copso-000063,aits-hyd-001,co-00042,pso-cse-01,22CH1201.CO1,01,2
copso-000064,aits-hyd-001,co-00043,pso-cse-02,22CH1201.CO2,02,2
copso-000065,aits-hyd-001,co-00044,pso-cse-02,22CH1201.CO3,02,2
copso-000066,aits-hyd-001,co-00044,pso-cse-03,22CH1201.CO3,03,3
copso-000067,aits-hyd-001,co-00045,pso-cse-03,22CH1201.CO4,03,3
copso-000068,aits-hyd-001,co-00045,pso-cse-01,22CH1201.CO4,01,2
copso-000069,aits-hyd-001,co-00046,pso-cse-01,22CH1201.CO5,01,3
copso-000070,aits-hyd-001,co-00047,pso-cse-01,22EE1201.CO1,01,3
copso-000071,aits-hyd-001,co-00048,pso-cse-01,22EE1201.CO2,01,2
copso-000072,aits-hyd-001,co-00048,pso-cse-03,22EE1201.CO2,03,2
copso-000073,aits-hyd-001,co-00049,pso-cse-01,22EE1201.CO3,01,1
copso-000074,aits-hyd-001,co-00049,pso-cse-03,22EE1201.CO3,03,3
copso-000075,aits-hyd-001,co-00050,pso-cse-03,22EE1201.CO4,03,3
copso-000076,aits-hyd-001,co-00050,pso-cse-01,22EE1201.CO4,01,3
copso-000077,aits-hyd-001,co-00051,pso-cse-02,22EE1201.CO5,02,3
copso-000078,aits-hyd-001,co-00051,pso-cse-03,22EE1201.CO5,03,3
copso-000079,aits-hyd-001,co-00052,pso-cse-03,22EE1201.CO6,03,3
copso-000080,aits-hyd-001,co-00052,pso-cse-01,22EE1201.CO6,01,3
copso-000081,aits-hyd-001,co-00053,pso-cse-02,22EE1202.CO1,02,3
copso-000082,aits-hyd-001,co-00053,pso-cse-01,22EE1202.CO1,01,3
copso-000083,aits-hyd-001,co-00054,pso-cse-03,22EE1202.CO2,03,2
copso-000084,aits-hyd-001,co-00054,pso-cse-02,22EE1202.CO2,02,3
copso-000085,aits-hyd-001,co-00055,pso-cse-02,22EE1202.CO3,02,3
copso-000086,aits-hyd-001,co-00055,pso-cse-01,22EE1202.CO3,01,1
copso-000087,aits-hyd-001,co-00056,pso-cse-03,22EE1202.CO4,03,3
copso-000088,aits-hyd-001,co-00056,pso-cse-02,22EE1202.CO4,02,2
copso-000089,aits-hyd-001,co-00057,pso-cse-02,22EN1201.CO1,02,3
copso-000090,aits-hyd-001,co-00058,pso-cse-03,22EN1201.CO2,03,3
copso-000091,aits-hyd-001,co-00059,pso-cse-01,22EN1201.CO3,01,1
copso-000092,aits-hyd-001,co-00060,pso-cse-01,22EN1201.CO4,01,3
copso-000093,aits-hyd-001,co-00060,pso-cse-03,22EN1201.CO4,03,3
copso-000094,aits-hyd-001,co-00061,pso-cse-03,22EN1201.CO5,03,3
copso-000095,aits-hyd-001,co-00061,pso-cse-02,22EN1201.CO5,02,3
copso-000096,aits-hyd-001,co-00062,pso-cse-02,22CS1201.CO1,02,3
copso-000097,aits-hyd-001,co-00063,pso-cse-02,22CS1201.CO2,02,3
copso-000098,aits-hyd-001,co-00063,pso-cse-03,22CS1201.CO2,03,1
copso-000099,aits-hyd-001,co-00064,pso-cse-01,22CS1201.CO3,01,3
copso-000100,aits-hyd-001,co-00065,pso-cse-01,22CS1201.CO4,01,3
copso-000101,aits-hyd-001,co-00065,pso-cse-03,22CS1201.CO4,03,1
copso-000102,aits-hyd-001,co-00066,pso-cse-02,22CS1201.CO5,02,2
copso-000103,aits-hyd-001,co-00067,pso-cse-01,22CS1201.CO6,01,2
copso-000104,aits-hyd-001,co-00067,pso-cse-03,22CS1201.CO6,03,1
copso-000105,aits-hyd-001,co-00068,pso-cse-03,22CS1202.CO1,03,1
copso-000106,aits-hyd-001,co-00069,pso-cse-02,22CS1202.CO2,02,3
copso-000107,aits-hyd-001,co-00070,pso-cse-03,22CS1202.CO3,03,2
copso-000108,aits-hyd-001,co-00071,pso-cse-01,22CS1202.CO4,01,2
copso-000109,aits-hyd-001,co-00072,pso-cse-03,22CS1202.CO5,03,2
copso-000110,aits-hyd-001,co-00072,pso-cse-02,22CS1202.CO5,02,2
copso-000111,aits-hyd-001,co-00073,pso-cse-01,22CH1202.CO1,01,2
copso-000112,aits-hyd-001,co-00074,pso-cse-01,22CH1202.CO2,01,2
copso-000113,aits-hyd-001,co-00074,pso-cse-03,22CH1202.CO2,03,3
copso-000114,aits-hyd-001,co-00075,pso-cse-02,22CH1202.CO3,02,3
copso-000115,aits-hyd-001,co-00076,pso-cse-03,22CH1202.CO4,03,3
copso-000116,aits-hyd-001,co-00076,pso-cse-02,22CH1202.CO4,02,3
copso-000117,aits-hyd-001,co-00077,pso-cse-01,22CS3101.CO1,01,2
copso-000118,aits-hyd-001,co-00078,pso-cse-01,22CS3101.CO2,01,3
copso-000119,aits-hyd-001,co-00079,pso-cse-03,22CS3101.CO3,03,3
copso-000120,aits-hyd-001,co-00079,pso-cse-01,22CS3101.CO3,01,1
copso-000121,aits-hyd-001,co-00080,pso-cse-02,22CS3101.CO4,02,3
copso-000122,aits-hyd-001,co-00080,pso-cse-03,22CS3101.CO4,03,3
copso-000123,aits-hyd-001,co-00081,pso-cse-02,22CS3101.CO5,02,3
copso-000124,aits-hyd-001,co-00082,pso-cse-03,22CS3102.CO1,03,3
copso-000125,aits-hyd-001,co-00083,pso-cse-01,22CS3102.CO2,01,1
copso-000126,aits-hyd-001,co-00084,pso-cse-02,22CS3102.CO3,02,1
copso-000127,aits-hyd-001,co-00085,pso-cse-01,22CS3102.CO4,01,3
copso-000128,aits-hyd-001,co-00085,pso-cse-03,22CS3102.CO4,03,3
copso-000129,aits-hyd-001,co-00086,pso-cse-03,22CS3102.CO5,03,3
copso-000130,aits-hyd-001,co-00086,pso-cse-01,22CS3102.CO5,01,2
copso-000131,aits-hyd-001,co-00087,pso-cse-02,22CS3103.CO1,02,3
copso-000132,aits-hyd-001,co-00087,pso-cse-01,22CS3103.CO1,01,1
copso-000133,aits-hyd-001,co-00088,pso-cse-02,22CS3103.CO2,02,2
copso-000134,aits-hyd-001,co-00088,pso-cse-01,22CS3103.CO2,01,3
copso-000135,aits-hyd-001,co-00089,pso-cse-03,22CS3103.CO3,03,1
copso-000136,aits-hyd-001,co-00089,pso-cse-02,22CS3103.CO3,02,2
copso-000137,aits-hyd-001,co-00090,pso-cse-03,22CS3103.CO4,03,1
copso-000138,aits-hyd-001,co-00090,pso-cse-01,22CS3103.CO4,01,2
copso-000139,aits-hyd-001,co-00091,pso-cse-01,22CS3103.CO5,01,2
copso-000140,aits-hyd-001,co-00091,pso-cse-03,22CS3103.CO5,03,2
copso-000141,aits-hyd-001,co-00092,pso-cse-01,22CS3103.CO6,01,3
copso-000142,aits-hyd-001,co-00092,pso-cse-03,22CS3103.CO6,03,3
copso-000143,aits-hyd-001,co-00093,pso-cse-03,22CS3104.CO1,03,2
copso-000144,aits-hyd-001,co-00093,pso-cse-01,22CS3104.CO1,01,3
copso-000145,aits-hyd-001,co-00094,pso-cse-02,22CS3104.CO2,02,3
copso-000146,aits-hyd-001,co-00095,pso-cse-01,22CS3104.CO3,01,2
copso-000147,aits-hyd-001,co-00095,pso-cse-03,22CS3104.CO3,03,2
copso-000148,aits-hyd-001,co-00096,pso-cse-03,22CS3104.CO4,03,1
copso-000149,aits-hyd-001,co-00097,pso-cse-02,22CS3104.CO5,02,3
copso-000150,aits-hyd-001,co-00097,pso-cse-01,22CS3104.CO5,01,3
copso-000151,aits-hyd-001,co-00098,pso-cse-02,22CS3104.CO6,02,3
copso-000152,aits-hyd-001,co-00099,pso-cse-02,22CS3105.CO1,02,2
copso-000153,aits-hyd-001,co-00099,pso-cse-01,22CS3105.CO1,01,2
copso-000154,aits-hyd-001,co-00100,pso-cse-01,22CS3105.CO2,01,2
copso-000155,aits-hyd-001,co-00100,pso-cse-03,22CS3105.CO2,03,2
copso-000156,aits-hyd-001,co-00101,pso-cse-02,22CS3105.CO3,02,1
copso-000157,aits-hyd-001,co-00102,pso-cse-03,22CS3105.CO4,03,2
copso-000158,aits-hyd-001,co-00103,pso-cse-03,22CS3105.CO5,03,3
copso-000159,aits-hyd-001,co-00104,pso-cse-02,22CS3106.CO1,02,2
copso-000160,aits-hyd-001,co-00105,pso-cse-02,22CS3106.CO2,02,1
copso-000161,aits-hyd-001,co-00106,pso-cse-01,22CS3106.CO3,01,1
copso-000162,aits-hyd-001,co-00106,pso-cse-03,22CS3106.CO3,03,2
copso-000163,aits-hyd-001,co-00107,pso-cse-03,22CS3106.CO4,03,3
copso-000164,aits-hyd-001,co-00107,pso-cse-01,22CS3106.CO4,01,3
copso-000165,aits-hyd-001,co-00108,pso-cse-01,22HS3101.CO1,01,2
copso-000166,aits-hyd-001,co-00108,pso-cse-03,22HS3101.CO1,03,3
copso-000167,aits-hyd-001,co-00109,pso-cse-03,22HS3101.CO2,03,3
copso-000168,aits-hyd-001,co-00109,pso-cse-01,22HS3101.CO2,01,3
copso-000169,aits-hyd-001,co-00110,pso-cse-03,22HS3101.CO3,03,2
copso-000170,aits-hyd-001,co-00110,pso-cse-01,22HS3101.CO3,01,1
copso-000171,aits-hyd-001,co-00111,pso-cse-01,22HS3101.CO4,01,2
copso-000172,aits-hyd-001,co-00111,pso-cse-02,22HS3101.CO4,02,1
copso-000173,aits-hyd-001,co-00112,pso-cse-01,22HS3101.CO5,01,2
copso-000174,aits-hyd-001,co-00113,pso-cse-03,22HS3101.CO6,03,3
copso-000175,aits-hyd-001,co-00113,pso-cse-02,22HS3101.CO6,02,3
copso-000176,aits-hyd-001,co-00114,pso-cse-01,22CS4101.CO1,01,3
copso-000177,aits-hyd-001,co-00115,pso-cse-02,22CS4101.CO2,02,3
copso-000178,aits-hyd-001,co-00116,pso-cse-03,22CS4101.CO3,03,2
copso-000179,aits-hyd-001,co-00116,pso-cse-01,22CS4101.CO3,01,2
copso-000180,aits-hyd-001,co-00117,pso-cse-01,22CS4101.CO4,01,3
copso-000181,aits-hyd-001,co-00117,pso-cse-02,22CS4101.CO4,02,3
copso-000182,aits-hyd-001,co-00118,pso-cse-01,22CS4101.CO5,01,2
copso-000183,aits-hyd-001,co-00119,pso-cse-02,22CS4101.CO6,02,2
copso-000184,aits-hyd-001,co-00120,pso-cse-01,22CS4102.CO1,01,3
copso-000185,aits-hyd-001,co-00120,pso-cse-02,22CS4102.CO1,02,3
copso-000186,aits-hyd-001,co-00121,pso-cse-03,22CS4102.CO2,03,3
copso-000187,aits-hyd-001,co-00122,pso-cse-03,22CS4102.CO3,03,3
copso-000188,aits-hyd-001,co-00123,pso-cse-01,22CS4102.CO4,01,3
copso-000189,aits-hyd-001,co-00124,pso-cse-03,22CS4102.CO5,03,1
copso-000190,aits-hyd-001,co-00124,pso-cse-01,22CS4102.CO5,01,1
copso-000191,aits-hyd-001,co-00125,pso-cse-03,22CS4102.CO6,03,3
copso-000192,aits-hyd-001,co-00126,pso-cse-02,22CS4103.CO1,02,3
copso-000193,aits-hyd-001,co-00127,pso-cse-02,22CS4103.CO2,02,1
copso-000194,aits-hyd-001,co-00127,pso-cse-01,22CS4103.CO2,01,3
copso-000195,aits-hyd-001,co-00128,pso-cse-02,22CS4103.CO3,02,3
copso-000196,aits-hyd-001,co-00129,pso-cse-02,22CS4103.CO4,02,1
copso-000197,aits-hyd-001,co-00129,pso-cse-03,22CS4103.CO4,03,3
copso-000198,aits-hyd-001,co-00130,pso-cse-03,22CS4103.CO5,03,3
copso-000199,aits-hyd-001,co-00131,pso-cse-02,22CS4103.CO6,02,3
copso-000200,aits-hyd-001,co-00132,pso-cse-02,22CS4104.CO1,02,3
copso-000201,aits-hyd-001,co-00133,pso-cse-03,22CS4104.CO2,03,3
copso-000202,aits-hyd-001,co-00133,pso-cse-01,22CS4104.CO2,01,2
copso-000203,aits-hyd-001,co-00134,pso-cse-03,22CS4104.CO3,03,2
copso-000204,aits-hyd-001,co-00135,pso-cse-03,22CS4104.CO4,03,2
copso-000205,aits-hyd-001,co-00135,pso-cse-02,22CS4104.CO4,02,2
copso-000206,aits-hyd-001,co-00136,pso-cse-03,22CS4104.CO5,03,3
copso-000207,aits-hyd-001,co-00136,pso-cse-02,22CS4104.CO5,02,2
copso-000208,aits-hyd-001,co-00137,pso-cse-03,22CS4104.CO6,03,2
copso-000209,aits-hyd-001,co-00137,pso-cse-02,22CS4104.CO6,02,2
copso-000210,aits-hyd-001,co-00138,pso-cse-02,22CS4105.CO1,02,2
copso-000211,aits-hyd-001,co-00139,pso-cse-03,22CS4105.CO2,03,1
copso-000212,aits-hyd-001,co-00139,pso-cse-01,22CS4105.CO2,01,3
copso-000213,aits-hyd-001,co-00140,pso-cse-03,22CS4105.CO3,03,3
copso-000214,aits-hyd-001,co-00141,pso-cse-01,22CS4105.CO4,01,3
copso-000215,aits-hyd-001,co-00142,pso-cse-01,22CS4105.CO5,01,3
copso-000216,aits-hyd-001,co-00143,pso-cse-02,22CS4106.CO1,02,3
copso-000217,aits-hyd-001,co-00143,pso-cse-01,22CS4106.CO1,01,3
copso-000218,aits-hyd-001,co-00144,pso-cse-03,22CS4106.CO2,03,3
copso-000219,aits-hyd-001,co-00144,pso-cse-01,22CS4106.CO2,01,2
copso-000220,aits-hyd-001,co-00145,pso-cse-03,22CS4106.CO3,03,2
copso-000221,aits-hyd-001,co-00145,pso-cse-01,22CS4106.CO3,01,2
copso-000222,aits-hyd-001,co-00146,pso-cse-01,22CS4106.CO4,01,3
copso-000223,aits-hyd-001,co-00146,pso-cse-02,22CS4106.CO4,02,3
copso-000224,aits-hyd-001,co-00147,pso-cse-02,22CS4106.CO5,02,3
copso-000225,aits-hyd-001,co-00147,pso-cse-03,22CS4106.CO5,03,3
copso-000226,aits-hyd-001,co-00148,pso-cse-02,22HS4101.CO1,02,3
copso-000227,aits-hyd-001,co-00148,pso-cse-03,22HS4101.CO1,03,3
copso-000228,aits-hyd-001,co-00149,pso-cse-01,22HS4101.CO2,01,3
copso-000229,aits-hyd-001,co-00149,pso-cse-03,22HS4101.CO2,03,2
copso-000230,aits-hyd-001,co-00150,pso-cse-01,22HS4101.CO3,01,3
copso-000231,aits-hyd-001,co-00151,pso-cse-03,22HS4101.CO4,03,3
copso-000232,aits-hyd-001,co-00151,pso-cse-01,22HS4101.CO4,01,2
copso-000233,aits-hyd-001,co-00152,pso-cse-01,22HS4101.CO5,01,2
copso-000234,aits-hyd-001,co-00153,pso-cse-02,22CS5101.CO1,02,2
copso-000235,aits-hyd-001,co-00154,pso-cse-03,22CS5101.CO2,03,3
copso-000236,aits-hyd-001,co-00154,pso-cse-01,22CS5101.CO2,01,2
copso-000237,aits-hyd-001,co-00155,pso-cse-03,22CS5101.CO3,03,3
copso-000238,aits-hyd-001,co-00156,pso-cse-01,22CS5101.CO4,01,2
copso-000239,aits-hyd-001,co-00157,pso-cse-03,22CS5101.CO5,03,1
copso-000240,aits-hyd-001,co-00157,pso-cse-01,22CS5101.CO5,01,2
copso-000241,aits-hyd-001,co-00158,pso-cse-02,22CS5101.CO6,02,2
copso-000242,aits-hyd-001,co-00159,pso-cse-01,22CS5102.CO1,01,3
copso-000243,aits-hyd-001,co-00160,pso-cse-01,22CS5102.CO2,01,2
copso-000244,aits-hyd-001,co-00161,pso-cse-02,22CS5102.CO3,02,3
copso-000245,aits-hyd-001,co-00161,pso-cse-01,22CS5102.CO3,01,3
copso-000246,aits-hyd-001,co-00162,pso-cse-03,22CS5102.CO4,03,1
copso-000247,aits-hyd-001,co-00162,pso-cse-02,22CS5102.CO4,02,1
copso-000248,aits-hyd-001,co-00163,pso-cse-01,22CS5102.CO5,01,3
copso-000249,aits-hyd-001,co-00163,pso-cse-03,22CS5102.CO5,03,3
copso-000250,aits-hyd-001,co-00164,pso-cse-03,22CS5102.CO6,03,1
copso-000251,aits-hyd-001,co-00164,pso-cse-02,22CS5102.CO6,02,3
copso-000252,aits-hyd-001,co-00165,pso-cse-03,22CS5103.CO1,03,2
copso-000253,aits-hyd-001,co-00166,pso-cse-03,22CS5103.CO2,03,3
copso-000254,aits-hyd-001,co-00166,pso-cse-02,22CS5103.CO2,02,3
copso-000255,aits-hyd-001,co-00167,pso-cse-03,22CS5103.CO3,03,3
copso-000256,aits-hyd-001,co-00168,pso-cse-03,22CS5103.CO4,03,3
copso-000257,aits-hyd-001,co-00169,pso-cse-01,22CS5103.CO5,01,3
copso-000258,aits-hyd-001,co-00169,pso-cse-03,22CS5103.CO5,03,2
copso-000259,aits-hyd-001,co-00170,pso-cse-02,22CS5103.CO6,02,3
copso-000260,aits-hyd-001,co-00171,pso-cse-02,22CS5104.CO1,02,2
copso-000261,aits-hyd-001,co-00171,pso-cse-01,22CS5104.CO1,01,2
copso-000262,aits-hyd-001,co-00172,pso-cse-03,22CS5104.CO2,03,3
copso-000263,aits-hyd-001,co-00173,pso-cse-03,22CS5104.CO3,03,3
copso-000264,aits-hyd-001,co-00173,pso-cse-01,22CS5104.CO3,01,1
copso-000265,aits-hyd-001,co-00174,pso-cse-02,22CS5104.CO4,02,1
copso-000266,aits-hyd-001,co-00175,pso-cse-02,22CS5104.CO5,02,2
copso-000267,aits-hyd-001,co-00175,pso-cse-03,22CS5104.CO5,03,3
copso-000268,aits-hyd-001,co-00176,pso-cse-02,22CS5104.CO6,02,2
copso-000269,aits-hyd-001,co-00176,pso-cse-01,22CS5104.CO6,01,2
copso-000270,aits-hyd-001,co-00177,pso-cse-03,22CS5105.CO1,03,3
copso-000271,aits-hyd-001,co-00177,pso-cse-02,22CS5105.CO1,02,3
copso-000272,aits-hyd-001,co-00178,pso-cse-03,22CS5105.CO2,03,2
copso-000273,aits-hyd-001,co-00178,pso-cse-01,22CS5105.CO2,01,3
copso-000274,aits-hyd-001,co-00179,pso-cse-01,22CS5105.CO3,01,2
copso-000275,aits-hyd-001,co-00180,pso-cse-01,22CS5105.CO4,01,3
copso-000276,aits-hyd-001,co-00180,pso-cse-03,22CS5105.CO4,03,3
copso-000277,aits-hyd-001,co-00181,pso-cse-03,22CS5106.CO1,03,3
copso-000278,aits-hyd-001,co-00182,pso-cse-02,22CS5106.CO2,02,3
copso-000279,aits-hyd-001,co-00182,pso-cse-01,22CS5106.CO2,01,3
copso-000280,aits-hyd-001,co-00183,pso-cse-02,22CS5106.CO3,02,3
copso-000281,aits-hyd-001,co-00184,pso-cse-02,22CS5106.CO4,02,3
copso-000282,aits-hyd-001,co-00184,pso-cse-01,22CS5106.CO4,01,2
copso-000283,aits-hyd-001,co-00185,pso-cse-02,22CS5106.CO5,02,3
copso-000284,aits-hyd-001,co-00186,pso-cse-03,22CS5106.CO6,03,1
copso-000285,aits-hyd-001,co-00187,pso-cse-02,22MC5101.CO1,02,1
copso-000286,aits-hyd-001,co-00188,pso-cse-01,22MC5101.CO2,01,3
copso-000287,aits-hyd-001,co-00188,pso-cse-03,22MC5101.CO2,03,3
copso-000288,aits-hyd-001,co-00189,pso-cse-02,22MC5101.CO3,02,3
copso-000289,aits-hyd-001,co-00189,pso-cse-03,22MC5101.CO3,03,3
copso-000290,aits-hyd-001,co-00190,pso-cse-02,22MC5101.CO4,02,1
copso-000291,aits-hyd-001,co-00190,pso-cse-01,22MC5101.CO4,01,3
copso-000292,aits-hyd-001,co-00191,pso-cse-01,22MC5101.CO5,01,2
copso-000293,aits-hyd-001,co-00192,pso-cse-01,22CS6101.CO1,01,2
copso-000294,aits-hyd-001,co-00193,pso-cse-01,22CS6101.CO2,01,3
copso-000295,aits-hyd-001,co-00193,pso-cse-02,22CS6101.CO2,02,2
copso-000296,aits-hyd-001,co-00194,pso-cse-03,22CS6101.CO3,03,3
copso-000297,aits-hyd-001,co-00194,pso-cse-02,22CS6101.CO3,02,3
copso-000298,aits-hyd-001,co-00195,pso-cse-03,22CS6101.CO4,03,1
copso-000299,aits-hyd-001,co-00196,pso-cse-03,22CS6101.CO5,03,3
copso-000300,aits-hyd-001,co-00196,pso-cse-02,22CS6101.CO5,02,2
copso-000301,aits-hyd-001,co-00197,pso-cse-03,22CS6102.CO1,03,3
copso-000302,aits-hyd-001,co-00197,pso-cse-01,22CS6102.CO1,01,1
copso-000303,aits-hyd-001,co-00198,pso-cse-02,22CS6102.CO2,02,1
copso-000304,aits-hyd-001,co-00199,pso-cse-01,22CS6102.CO3,01,2
copso-000305,aits-hyd-001,co-00200,pso-cse-02,22CS6102.CO4,02,3
copso-000306,aits-hyd-001,co-00200,pso-cse-01,22CS6102.CO4,01,2
copso-000307,aits-hyd-001,co-00201,pso-cse-01,22CS6102.CO5,01,3
copso-000308,aits-hyd-001,co-00202,pso-cse-03,22CS6102.CO6,03,3
copso-000309,aits-hyd-001,co-00203,pso-cse-01,22CS6103.CO1,01,3
copso-000310,aits-hyd-001,co-00204,pso-cse-01,22CS6103.CO2,01,2
copso-000311,aits-hyd-001,co-00205,pso-cse-01,22CS6103.CO3,01,1
copso-000312,aits-hyd-001,co-00206,pso-cse-03,22CS6103.CO4,03,3
copso-000313,aits-hyd-001,co-00206,pso-cse-02,22CS6103.CO4,02,3
copso-000314,aits-hyd-001,co-00207,pso-cse-02,22CS6103.CO5,02,1
copso-000315,aits-hyd-001,co-00207,pso-cse-03,22CS6103.CO5,03,3
copso-000316,aits-hyd-001,co-00208,pso-cse-01,22CS6104.CO1,01,3
copso-000317,aits-hyd-001,co-00208,pso-cse-02,22CS6104.CO1,02,2
copso-000318,aits-hyd-001,co-00209,pso-cse-01,22CS6104.CO2,01,1
copso-000319,aits-hyd-001,co-00209,pso-cse-02,22CS6104.CO2,02,3
copso-000320,aits-hyd-001,co-00210,pso-cse-01,22CS6104.CO3,01,3
copso-000321,aits-hyd-001,co-00211,pso-cse-01,22CS6104.CO4,01,1
copso-000322,aits-hyd-001,co-00212,pso-cse-01,22CS6104.CO5,01,3
copso-000323,aits-hyd-001,co-00213,pso-cse-02,22CS6105.CO1,02,3
copso-000324,aits-hyd-001,co-00214,pso-cse-01,22CS6105.CO2,01,3
copso-000325,aits-hyd-001,co-00215,pso-cse-01,22CS6105.CO3,01,2
copso-000326,aits-hyd-001,co-00215,pso-cse-03,22CS6105.CO3,03,3
copso-000327,aits-hyd-001,co-00216,pso-cse-03,22CS6105.CO4,03,3
copso-000328,aits-hyd-001,co-00216,pso-cse-02,22CS6105.CO4,02,3
copso-000329,aits-hyd-001,co-00217,pso-cse-03,22CS6105.CO5,03,1
copso-000330,aits-hyd-001,co-00218,pso-cse-01,22CS6106.CO1,01,3
copso-000331,aits-hyd-001,co-00219,pso-cse-01,22CS6106.CO2,01,1
copso-000332,aits-hyd-001,co-00220,pso-cse-01,22CS6106.CO3,01,2
