id,hostel_block_id,gender,floor,room_number,room_type,has_ac,capacity,current_occupancy,is_active
hrm-0032,hblk-boys-a,Male,2,BA-F2R04,double,False,2,0,True
hrm-0033,hblk-boys-a,Male,2,BA-F2R05,double,False,2,0,True
hrm-0034,hblk-boys-a,Male,2,BA-F2R06,double,False,2,0,True
hrm-0035,hblk-boys-a,Male,2,BA-F2R07,double,False,2,0,True
hrm-0036,hblk-boys-a,Male,2,BA-F2R08,double,False,2,0,True
hrm-0037,hblk-boys-a,Male,2,BA-F2R09,double,False,2,0,True
hrm-0038,hblk-boys-a,Male,2,BA-F2R10,double,False,2,0,True
hrm-0039,hblk-boys-a,Male,2,BA-F2R11,double,False,2,0,True
hrm-0040,hblk-boys-a,Male,2,BA-F2R12,double,False,2,0,True
hrm-0041,hblk-boys-a,Male,2,BA-F2R01,triple,False,3,0,True
hrm-0042,hblk-boys-a,Male,2,BA-F2R02,triple,False,3,0,True
hrm-0043,hblk-boys-a,Male,2,BA-F2R03,triple,False,3,0,True
hrm-0044,hblk-boys-a,Male,2,BA-F2R04,triple,False,3,0,True
hrm-0045,hblk-boys-a,Male,2,BA-F2R05,triple,False,3,0,True
hrm-0046,hblk-boys-a,Male,2,BA-F2R06,triple,False,3,0,True
hrm-0047,hblk-boys-a,Male,2,BA-F2R07,triple,False,3,0,True
hrm-0048,hblk-boys-a,Male,2,BA-F2R08,triple,False,3,0,True
hrm-0049,hblk-boys-a,Male,2,BA-F2R09,triple,False,3,0,True
hrm-0050,hblk-boys-a,Male,2,BA-F2R10,triple,False,3,0,True
hrm-0051,hblk-boys-a,Male,2,BA-F2R01,quadruple,False,4,0,True
hrm-0052,hblk-boys-a,Male,2,BA-F2R02,quadruple,False,4,0,True
hrm-0053,hblk-boys-a,Male,2,BA-F2R03,quadruple,False,4,0,True
hrm-0054,hblk-boys-a,Male,2,BA-F2R04,quadruple,False,4,0,True
hrm-0055,hblk-boys-a,Male,2,BA-F2R05,quadruple,False,4,0,True
hrm-0056,hblk-boys-a,Male,2,BA-F2R06,quadruple,False,4,0,True
hrm-0057,hblk-boys-a,Male,3,BA-F3R01,double,False,2,0,True
hrm-0058,hblk-boys-a,Male,3,BA-F3R02,double,False,2,0,True
hrm-0059,hblk-boys-a,Male,3,BA-F3R03,double,False,2,0,True
hrm-0060,hblk-boys-a,Male,3,BA-F3R04,double,False,2,0,True
hrm-0061,hblk-boys-a,Male,3,BA-F3R05,double,False,2,0,True
hrm-0062,hblk-boys-a,Male,3,BA-F3R06,double,False,2,0,True
hrm-0063,hblk-boys-a,Male,3,BA-F3R07,double,False,2,0,True
hrm-0064,hblk-boys-a,Male,3,BA-F3R08,double,False,2,0,True
hrm-0065,hblk-boys-a,Male,3,BA-F3R09,double,False,2,0,True
hrm-0066,hblk-boys-a,Male,3,BA-F3R10,double,False,2,0,True
hrm-0067,hblk-boys-a,Male,3,BA-F3R11,double,False,2,0,True
hrm-0068,hblk-boys-a,Male,3,BA-F3R12,double,False,2,0,True
hrm-0069,hblk-boys-a,Male,3,BA-F3R01,triple,False,3,0,True
hrm-0070,hblk-boys-a,Male,3,BA-F3R02,triple,False,3,0,True
hrm-0071,hblk-boys-a,Male,3,BA-F3R03,triple,False,3,0,True
hrm-0072,hblk-boys-a,Male,3,BA-F3R04,triple,False,3,0,True
hrm-0073,hblk-boys-a,Male,3,BA-F3R05,triple,False,3,0,True
hrm-0074,hblk-boys-a,Male,3,BA-F3R06,triple,False,3,0,True
hrm-0075,hblk-boys-a,Male,3,BA-F3R07,triple,False,3,0,True
hrm-0076,hblk-boys-a,Male,3,BA-F3R08,triple,False,3,0,True
hrm-0077,hblk-boys-a,Male,3,BA-F3R09,triple,False,3,0,True
hrm-0078,hblk-boys-a,Male,3,BA-F3R10,triple,False,3,0,True
hrm-0079,hblk-boys-a,Male,3,BA-F3R01,quadruple,False,4,0,True
hrm-0080,hblk-boys-a,Male,3,BA-F3R02,quadruple,False,4,0,True
hrm-0081,hblk-boys-a,Male,3,BA-F3R03,quadruple,False,4,0,True
hrm-0082,hblk-boys-a,Male,3,BA-F3R04,quadruple,False,4,0,True
hrm-0083,hblk-boys-a,Male,3,BA-F3R05,quadruple,False,4,0,True
hrm-0084,hblk-boys-a,Male,3,BA-F3R06,quadruple,False,4,0,True
hrm-0085,hblk-boys-a,Male,4,BA-F4R01,double,False,2,0,True
hrm-0086,hblk-boys-a,Male,4,BA-F4R02,double,False,2,0,True
hrm-0087,hblk-boys-a,Male,4,BA-F4R03,double,False,2,0,True
hrm-0088,hblk-boys-a,Male,4,BA-F4R04,double,False,2,0,True
hrm-0089,hblk-boys-a,Male,4,BA-F4R05,double,False,2,0,True
hrm-0090,hblk-boys-a,Male,4,BA-F4R06,double,False,2,0,True
hrm-0091,hblk-boys-a,Male,4,BA-F4R07,double,False,2,0,True
hrm-0092,hblk-boys-a,Male,4,BA-F4R08,double,False,2,0,True
hrm-0093,hblk-boys-a,Male,4,BA-F4R09,double,False,2,0,True
hrm-0094,hblk-boys-a,Male,4,BA-F4R10,double,False,2,0,True
hrm-0095,hblk-boys-a,Male,4,BA-F4R11,double,False,2,0,True
hrm-0096,hblk-boys-a,Male,4,BA-F4R12,double,False,2,0,True
hrm-0097,hblk-boys-a,Male,4,BA-F4R01,triple,False,3,0,True
hrm-0098,hblk-boys-a,Male,4,BA-F4R02,triple,False,3,0,True
hrm-0099,hblk-boys-a,Male,4,BA-F4R03,triple,False,3,0,True
hrm-0100,hblk-boys-a,Male,4,BA-F4R04,triple,False,3,0,True
hrm-0101,hblk-boys-a,Male,4,BA-F4R05,triple,False,3,0,True
hrm-0102,hblk-boys-a,Male,4,BA-F4R06,triple,False,3,0,True
hrm-0103,hblk-boys-a,Male,4,BA-F4R07,triple,False,3,0,True
hrm-0104,hblk-boys-a,Male,4,BA-F4R08,triple,False,3,0,True
hrm-0105,hblk-boys-a,Male,4,BA-F4R09,triple,False,3,0,True
hrm-0106,hblk-boys-a,Male,4,BA-F4R10,triple,False,3,0,True
hrm-0107,hblk-boys-a,Male,4,BA-F4R01,quadruple,False,4,0,True
hrm-0108,hblk-boys-a,Male,4,BA-F4R02,quadruple,False,4,0,True
hrm-0109,hblk-boys-a,Male,4,BA-F4R03,quadruple,False,4,0,True
hrm-0110,hblk-boys-a,Male,4,BA-F4R04,quadruple,False,4,0,True
hrm-0111,hblk-boys-a,Male,4,BA-F4R05,quadruple,False,4,0,True
hrm-0112,hblk-boys-a,Male,4,BA-F4R06,quadruple,False,4,0,True
hrm-0113,hblk-boys-a,Male,5,BA-DORM-01,dormitory,False,20,0,True
hrm-0114,hblk-boys-a,Male,5,BA-DORM-02,dormitory,False,20,0,True
hrm-0115,hblk-boys-a,Male,5,BA-DORM-03,dormitory,False,20,0,True
hrm-0116,hblk-boys-b,Male,1,BB-F1R01,double,False,2,0,True
hrm-0117,hblk-boys-b,Male,1,BB-F1R02,double,False,2,0,True
hrm-0118,hblk-boys-b,Male,1,BB-F1R03,double,False,2,0,True
hrm-0119,hblk-boys-b,Male,1,BB-F1R04,double,False,2,0,True
hrm-0120,hblk-boys-b,Male,1,BB-F1R05,double,False,2,0,True
hrm-0121,hblk-boys-b,Male,1,BB-F1R06,double,False,2,0,True
hrm-0122,hblk-boys-b,Male,1,BB-F1R07,double,False,2,0,True
hrm-0123,hblk-boys-b,Male,1,BB-F1R08,double,False,2,0,True
hrm-0124,hblk-boys-b,Male,1,BB-F1R09,double,False,2,0,True
hrm-0125,hblk-boys-b,Male,1,BB-F1R10,double,False,2,0,True
hrm-0126,hblk-boys-b,Male,1,BB-F1R01,triple,False,3,0,True
hrm-0127,hblk-boys-b,Male,1,BB-F1R02,triple,False,3,0,True
hrm-0128,hblk-boys-b,Male,1,BB-F1R03,triple,False,3,0,True
hrm-0129,hblk-boys-b,Male,1,BB-F1R04,triple,False,3,0,True
hrm-0130,hblk-boys-b,Male,1,BB-F1R05,triple,False,3,0,True
hrm-0131,hblk-boys-b,Male,1,BB-F1R06,triple,False,3,0,True
hrm-0132,hblk-boys-b,Male,1,BB-F1R07,triple,False,3,0,True
hrm-0133,hblk-boys-b,Male,1,BB-F1R08,triple,False,3,0,True
hrm-0134,hblk-boys-b,Male,2,BB-F2R01,double,False,2,0,True
hrm-0135,hblk-boys-b,Male,2,BB-F2R02,double,False,2,0,True
hrm-0136,hblk-boys-b,Male,2,BB-F2R03,double,False,2,0,True
hrm-0137,hblk-boys-b,Male,2,BB-F2R04,double,False,2,0,True
hrm-0138,hblk-boys-b,Male,2,BB-F2R05,double,False,2,0,True
hrm-0139,hblk-boys-b,Male,2,BB-F2R06,double,False,2,0,True
hrm-0140,hblk-boys-b,Male,2,BB-F2R07,double,False,2,0,True
hrm-0141,hblk-boys-b,Male,2,BB-F2R08,double,False,2,0,True
hrm-0142,hblk-boys-b,Male,2,BB-F2R09,double,False,2,0,True
hrm-0143,hblk-boys-b,Male,2,BB-F2R10,double,False,2,0,True
hrm-0144,hblk-boys-b,Male,2,BB-F2R01,triple,False,3,0,True
hrm-0145,hblk-boys-b,Male,2,BB-F2R02,triple,False,3,0,True
hrm-0146,hblk-boys-b,Male,2,BB-F2R03,triple,False,3,0,True
hrm-0147,hblk-boys-b,Male,2,BB-F2R04,triple,False,3,0,True
hrm-0148,hblk-boys-b,Male,2,BB-F2R05,triple,False,3,0,True
hrm-0149,hblk-boys-b,Male,2,BB-F2R06,triple,False,3,0,True
hrm-0150,hblk-boys-b,Male,2,BB-F2R07,triple,False,3,0,True
hrm-0151,hblk-boys-b,Male,2,BB-F2R08,triple,False,3,0,True
hrm-0152,hblk-boys-b,Male,3,BB-F3R01,single,True,1,0,True
hrm-0153,hblk-boys-b,Male,3,BB-F3R02,single,True,1,0,True
hrm-0154,hblk-boys-b,Male,3,BB-F3R03,single,True,1,0,True
hrm-0155,hblk-boys-b,Male,3,BB-F3R04,single,True,1,0,True
hrm-0156,hblk-boys-b,Male,3,BB-F3R05,single,True,1,0,True
hrm-0157,hblk-boys-b,Male,3,BB-F3R06,single,True,1,0,True
hrm-0158,hblk-boys-b,Male,3,BB-F3R07,single,True,1,0,True
hrm-0159,hblk-boys-b,Male,3,BB-F3R08,single,True,1,0,True
hrm-0160,hblk-boys-b,Male,3,BB-F3R01,double,True,2,0,True
hrm-0161,hblk-boys-b,Male,3,BB-F3R02,double,True,2,0,True
hrm-0162,hblk-boys-b,Male,3,BB-F3R03,double,True,2,0,True
hrm-0163,hblk-boys-b,Male,3,BB-F3R04,double,True,2,0,True
hrm-0164,hblk-boys-b,Male,3,BB-F3R05,double,True,2,0,True
hrm-0165,hblk-boys-b,Male,3,BB-F3R06,double,True,2,0,True
hrm-0166,hblk-boys-b,Male,3,BB-F3R07,double,True,2,0,True
hrm-0167,hblk-boys-b,Male,3,BB-F3R08,double,True,2,0,True
hrm-0168,hblk-boys-b,Male,3,BB-F3R09,double,True,2,0,True
hrm-0169,hblk-boys-b,Male,3,BB-F3R10,double,True,2,0,True
hrm-0170,hblk-boys-b,Male,4,BB-F4R01,single,True,1,0,True
hrm-0171,hblk-boys-b,Male,4,BB-F4R02,single,True,1,0,True
hrm-0172,hblk-boys-b,Male,4,BB-F4R03,single,True,1,0,True
hrm-0173,hblk-boys-b,Male,4,BB-F4R04,single,True,1,0,True
hrm-0174,hblk-boys-b,Male,4,BB-F4R05,single,True,1,0,True
hrm-0175,hblk-boys-b,Male,4,BB-F4R06,single,True,1,0,True
hrm-0176,hblk-boys-b,Male,4,BB-F4R07,single,True,1,0,True
hrm-0177,hblk-boys-b,Male,4,BB-F4R08,single,True,1,0,True
hrm-0178,hblk-boys-b,Male,4,BB-F4R01,double,True,2,0,True
hrm-0179,hblk-boys-b,Male,4,BB-F4R02,double,True,2,0,True
hrm-0180,hblk-boys-b,Male,4,BB-F4R03,double,True,2,0,True
hrm-0181,hblk-boys-b,Male,4,BB-F4R04,double,True,2,0,True
hrm-0182,hblk-boys-b,Male,4,BB-F4R05,double,True,2,0,True
hrm-0183,hblk-boys-b,Male,4,BB-F4R06,double,True,2,0,True
hrm-0184,hblk-boys-b,Male,4,BB-F4R07,double,True,2,0,True
hrm-0185,hblk-boys-b,Male,4,BB-F4R08,double,True,2,0,True
hrm-0186,hblk-boys-b,Male,4,BB-F4R09,double,True,2,0,True
hrm-0187,hblk-boys-b,Male,4,BB-F4R10,double,True,2,0,True
hrm-0188,hblk-boys-b,Male,5,BB-F5R01,single,True,1,0,True
hrm-0189,hblk-boys-b,Male,5,BB-F5R02,single,True,1,0,True
hrm-0190,hblk-boys-b,Male,5,BB-F5R03,single,True,1,0,True
hrm-0191,hblk-boys-b,Male,5,BB-F5R04,single,True,1,0,True
hrm-0192,hblk-boys-b,Male,5,BB-F5R05,single,True,1,0,True
hrm-0193,hblk-boys-b,Male,5,BB-F5R06,single,True,1,0,True
hrm-0194,hblk-boys-b,Male,5,BB-F5R07,single,True,1,0,True
hrm-0195,hblk-boys-b,Male,5,BB-F5R08,single,True,1,0,True
hrm-0196,hblk-boys-b,Male,5,BB-F5R01,double,True,2,0,True
hrm-0197,hblk-boys-b,Male,5,BB-F5R02,double,True,2,0,True
hrm-0198,hblk-boys-b,Male,5,BB-F5R03,double,True,2,0,True
hrm-0199,hblk-boys-b,Male,5,BB-F5R04,double,True,2,0,True
hrm-0200,hblk-boys-b,Male,5,BB-F5R05,double,True,2,0,True
hrm-0201,hblk-boys-b,Male,5,BB-F5R06,double,True,2,0,True
hrm-0202,hblk-boys-b,Male,5,BB-F5R07,double,True,2,0,True
hrm-0203,hblk-boys-b,Male,5,BB-F5R08,double,True,2,0,True
hrm-0204,hblk-boys-b,Male,5,BB-F5R09,double,True,2,0,True
hrm-0205,hblk-boys-b,Male,5,BB-F5R10,double,True,2,0,True
hrm-0206,hblk-boys-b,Male,5,BB-DORM-01,dormitory,True,15,0,True
hrm-0207,hblk-boys-b,Male,5,BB-DORM-02,dormitory,True,15,0,True
hrm-0208,hblk-boys-ann,Male,1,BAX-F1R01,double,False,2,0,True
hrm-0209,hblk-boys-ann,Male,1,BAX-F1R02,double,False,2,0,True
hrm-0210,hblk-boys-ann,Male,1,BAX-F1R03,double,False,2,0,True
hrm-0211,hblk-boys-ann,Male,1,BAX-F1R04,double,False,2,0,True
hrm-0212,hblk-boys-ann,Male,1,BAX-F1R05,double,False,2,0,True
hrm-0213,hblk-boys-ann,Male,1,BAX-F1R06,double,False,2,0,True
hrm-0214,hblk-boys-ann,Male,1,BAX-F1R07,double,False,2,0,True
hrm-0215,hblk-boys-ann,Male,1,BAX-F1R08,double,False,2,0,True
hrm-0216,hblk-boys-ann,Male,1,BAX-F1R09,double,False,2,0,True
hrm-0217,hblk-boys-ann,Male,1,BAX-F1R10,double,False,2,0,True
hrm-0218,hblk-boys-ann,Male,1,BAX-F1R01,triple,False,3,0,True
hrm-0219,hblk-boys-ann,Male,1,BAX-F1R02,triple,False,3,0,True
hrm-0220,hblk-boys-ann,Male,1,BAX-F1R03,triple,False,3,0,True
hrm-0221,hblk-boys-ann,Male,1,BAX-F1R04,triple,False,3,0,True
hrm-0222,hblk-boys-ann,Male,1,BAX-F1R05,triple,False,3,0,True
hrm-0223,hblk-boys-ann,Male,1,BAX-F1R06,triple,False,3,0,True
hrm-0224,hblk-boys-ann,Male,1,BAX-F1R07,triple,False,3,0,True
hrm-0225,hblk-boys-ann,Male,1,BAX-F1R08,triple,False,3,0,True
hrm-0226,hblk-boys-ann,Male,1,BAX-F1R01,quadruple,False,4,0,True
hrm-0227,hblk-boys-ann,Male,1,BAX-F1R02,quadruple,False,4,0,True
hrm-0228,hblk-boys-ann,Male,1,BAX-F1R03,quadruple,False,4,0,True
hrm-0229,hblk-boys-ann,Male,1,BAX-F1R04,quadruple,False,4,0,True
hrm-0230,hblk-boys-ann,Male,2,BAX-F2R01,double,False,2,0,True
hrm-0231,hblk-boys-ann,Male,2,BAX-F2R02,double,False,2,0,True
hrm-0232,hblk-boys-ann,Male,2,BAX-F2R03,double,False,2,0,True
hrm-0233,hblk-boys-ann,Male,2,BAX-F2R04,double,False,2,0,True
hrm-0234,hblk-boys-ann,Male,2,BAX-F2R05,double,False,2,0,True
hrm-0235,hblk-boys-ann,Male,2,BAX-F2R06,double,False,2,0,True
hrm-0236,hblk-boys-ann,Male,2,BAX-F2R07,double,False,2,0,True
hrm-0237,hblk-boys-ann,Male,2,BAX-F2R08,double,False,2,0,True
hrm-0238,hblk-boys-ann,Male,2,BAX-F2R09,double,False,2,0,True
hrm-0239,hblk-boys-ann,Male,2,BAX-F2R10,double,False,2,0,True
hrm-0240,hblk-boys-ann,Male,2,BAX-F2R01,triple,False,3,0,True
hrm-0241,hblk-boys-ann,Male,2,BAX-F2R02,triple,False,3,0,True
hrm-0242,hblk-boys-ann,Male,2,BAX-F2R03,triple,False,3,0,True
hrm-0243,hblk-boys-ann,Male,2,BAX-F2R04,triple,False,3,0,True
hrm-0244,hblk-boys-ann,Male,2,BAX-F2R05,triple,False,3,0,True
hrm-0245,hblk-boys-ann,Male,2,BAX-F2R06,triple,False,3,0,True
hrm-0246,hblk-boys-ann,Male,2,BAX-F2R07,triple,False,3,0,True
hrm-0247,hblk-boys-ann,Male,2,BAX-F2R08,triple,False,3,0,True
hrm-0248,hblk-boys-ann,Male,2,BAX-F2R01,quadruple,False,4,0,True
hrm-0249,hblk-boys-ann,Male,2,BAX-F2R02,quadruple,False,4,0,True
hrm-0250,hblk-boys-ann,Male,2,BAX-F2R03,quadruple,False,4,0,True
hrm-0251,hblk-boys-ann,Male,2,BAX-F2R04,quadruple,False,4,0,True
hrm-0252,hblk-boys-ann,Male,3,BAX-F3R01,double,False,2,0,True
hrm-0253,hblk-boys-ann,Male,3,BAX-F3R02,double,False,2,0,True
hrm-0254,hblk-boys-ann,Male,3,BAX-F3R03,double,False,2,0,True
hrm-0255,hblk-boys-ann,Male,3,BAX-F3R04,double,False,2,0,True
hrm-0256,hblk-boys-ann,Male,3,BAX-F3R05,double,False,2,0,True
hrm-0257,hblk-boys-ann,Male,3,BAX-F3R06,double,False,2,0,True
hrm-0258,hblk-boys-ann,Male,3,BAX-F3R07,double,False,2,0,True
hrm-0259,hblk-boys-ann,Male,3,BAX-F3R08,double,False,2,0,True
hrm-0260,hblk-boys-ann,Male,3,BAX-F3R09,double,False,2,0,True
hrm-0261,hblk-boys-ann,Male,3,BAX-F3R10,double,False,2,0,True
hrm-0262,hblk-boys-ann,Male,3,BAX-F3R01,triple,False,3,0,True
hrm-0263,hblk-boys-ann,Male,3,BAX-F3R02,triple,False,3,0,True
hrm-0264,hblk-boys-ann,Male,3,BAX-F3R03,triple,False,3,0,True
hrm-0265,hblk-boys-ann,Male,3,BAX-F3R04,triple,False,3,0,True
hrm-0266,hblk-boys-ann,Male,3,BAX-F3R05,triple,False,3,0,True
hrm-0267,hblk-boys-ann,Male,3,BAX-F3R06,triple,False,3,0,True
hrm-0268,hblk-boys-ann,Male,3,BAX-F3R07,triple,False,3,0,True
hrm-0269,hblk-boys-ann,Male,3,BAX-F3R08,triple,False,3,0,True
hrm-0270,hblk-boys-ann,Male,3,BAX-F3R01,quadruple,False,4,0,True
hrm-0271,hblk-boys-ann,Male,3,BAX-F3R02,quadruple,False,4,0,True
hrm-0272,hblk-boys-ann,Male,3,BAX-F3R03,quadruple,False,4,0,True
hrm-0273,hblk-boys-ann,Male,3,BAX-F3R04,quadruple,False,4,0,True
hrm-0274,hblk-boys-ann,Male,4,BAX-F4R01,double,False,2,0,True
hrm-0275,hblk-boys-ann,Male,4,BAX-F4R02,double,False,2,0,True
hrm-0276,hblk-boys-ann,Male,4,BAX-F4R03,double,False,2,0,True
hrm-0277,hblk-boys-ann,Male,4,BAX-F4R04,double,False,2,0,True
hrm-0278,hblk-boys-ann,Male,4,BAX-F4R05,double,False,2,0,True
hrm-0279,hblk-boys-ann,Male,4,BAX-F4R06,double,False,2,0,True
hrm-0280,hblk-boys-ann,Male,4,BAX-F4R07,double,False,2,0,True
hrm-0281,hblk-boys-ann,Male,4,BAX-F4R08,double,False,2,0,True
hrm-0282,hblk-boys-ann,Male,4,BAX-F4R09,double,False,2,0,True
hrm-0283,hblk-boys-ann,Male,4,BAX-F4R10,double,False,2,0,True
hrm-0284,hblk-boys-ann,Male,4,BAX-F4R01,triple,False,3,0,True
hrm-0285,hblk-boys-ann,Male,4,BAX-F4R02,triple,False,3,0,True
hrm-0286,hblk-boys-ann,Male,4,BAX-F4R03,triple,False,3,0,True
hrm-0287,hblk-boys-ann,Male,4,BAX-F4R04,triple,False,3,0,True
hrm-0288,hblk-boys-ann,Male,4,BAX-F4R05,triple,False,3,0,True
hrm-0289,hblk-boys-ann,Male,4,BAX-F4R06,triple,False,3,0,True
hrm-0290,hblk-boys-ann,Male,4,BAX-F4R07,triple,False,3,0,True
hrm-0291,hblk-boys-ann,Male,4,BAX-F4R08,triple,False,3,0,True
hrm-0292,hblk-boys-ann,Male,4,BAX-F4R01,quadruple,False,4,0,True
hrm-0293,hblk-boys-ann,Male,4,BAX-F4R02,quadruple,False,4,0,True
hrm-0294,hblk-boys-ann,Male,4,BAX-F4R03,quadruple,False,4,0,True
hrm-0295,hblk-boys-ann,Male,4,BAX-F4R04,quadruple,False,4,0,True
hrm-0296,hblk-boys-ann,Male,4,BAX-DORM-01,dormitory,False,20,0,True
hrm-0297,hblk-boys-ann,Male,4,BAX-DORM-02,dormitory,False,20,0,True
hrm-0298,hblk-girls-c,Female,1,GC-F1R01,double,False,2,0,True
hrm-0299,hblk-girls-c,Female,1,GC-F1R02,double,False,2,0,True
hrm-0300,hblk-girls-c,Female,1,GC-F1R03,double,False,2,0,True
hrm-0301,hblk-girls-c,Female,1,GC-F1R04,double,False,2,0,True
hrm-0302,hblk-girls-c,Female,1,GC-F1R05,double,False,2,0,True
hrm-0303,hblk-girls-c,Female,1,GC-F1R06,double,False,2,0,True
hrm-0304,hblk-girls-c,Female,1,GC-F1R07,double,False,2,0,True
hrm-0305,hblk-girls-c,Female,1,GC-F1R08,double,False,2,0,True
hrm-0306,hblk-girls-c,Female,1,GC-F1R09,double,False,2,0,True
hrm-0307,hblk-girls-c,Female,1,GC-F1R10,double,False,2,0,True
hrm-0308,hblk-girls-c,Female,1,GC-F1R11,double,False,2,0,True
hrm-0309,hblk-girls-c,Female,1,GC-F1R12,double,False,2,0,True
hrm-0310,hblk-girls-c,Female,1,GC-F1R01,triple,False,3,0,True
hrm-0311,hblk-girls-c,Female,1,GC-F1R02,triple,False,3,0,True
hrm-0312,hblk-girls-c,Female,1,GC-F1R03,triple,False,3,0,True
hrm-0313,hblk-girls-c,Female,1,GC-F1R04,triple,False,3,0,True
hrm-0314,hblk-girls-c,Female,1,GC-F1R05,triple,False,3,0,True
hrm-0315,hblk-girls-c,Female,1,GC-F1R06,triple,False,3,0,True
hrm-0316,hblk-girls-c,Female,1,GC-F1R07,triple,False,3,0,True
hrm-0317,hblk-girls-c,Female,1,GC-F1R08,triple,False,3,0,True
hrm-0318,hblk-girls-c,Female,1,GC-F1R09,triple,False,3,0,True
hrm-0319,hblk-girls-c,Female,1,GC-F1R10,triple,False,3,0,True
hrm-0320,hblk-girls-c,Female,1,GC-F1R01,quadruple,False,4,0,True
hrm-0321,hblk-girls-c,Female,1,GC-F1R02,quadruple,False,4,0,True
hrm-0322,hblk-girls-c,Female,1,GC-F1R03,quadruple,False,4,0,True
hrm-0323,hblk-girls-c,Female,1,GC-F1R04,quadruple,False,4,0,True
hrm-0324,hblk-girls-c,Female,1,GC-F1R05,quadruple,False,4,0,True
hrm-0325,hblk-girls-c,Female,1,GC-F1R06,quadruple,False,4,0,True
hrm-0326,hblk-girls-c,Female,2,GC-F2R01,double,False,2,0,True
hrm-0327,hblk-girls-c,Female,2,GC-F2R02,double,False,2,0,True
hrm-0328,hblk-girls-c,Female,2,GC-F2R03,double,False,2,0,True
hrm-0329,hblk-girls-c,Female,2,GC-F2R04,double,False,2,0,True
hrm-0330,hblk-girls-c,Female,2,GC-F2R05,double,False,2,0,True
hrm-0331,hblk-girls-c,Female,2,GC-F2R06,double,False,2,0,True
hrm-0332,hblk-girls-c,Female,2,GC-F2R07,double,False,2,0,True
hrm-0333,hblk-girls-c,Female,2,GC-F2R08,double,False,2,0,True
hrm-0334,hblk-girls-c,Female,2,GC-F2R09,double,False,2,0,True
hrm-0335,hblk-girls-c,Female,2,GC-F2R10,double,False,2,0,True
hrm-0336,hblk-girls-c,Female,2,GC-F2R11,double,False,2,0,True
hrm-0337,hblk-girls-c,Female,2,GC-F2R12,double,False,2,0,True
hrm-0338,hblk-girls-c,Female,2,GC-F2R01,triple,False,3,0,True
hrm-0339,hblk-girls-c,Female,2,GC-F2R02,triple,False,3,0,True
hrm-0340,hblk-girls-c,Female,2,GC-F2R03,triple,False,3,0,True
hrm-0341,hblk-girls-c,Female,2,GC-F2R04,triple,False,3,0,True
hrm-0342,hblk-girls-c,Female,2,GC-F2R05,triple,False,3,0,True
hrm-0343,hblk-girls-c,Female,2,GC-F2R06,triple,False,3,0,True
hrm-0344,hblk-girls-c,Female,2,GC-F2R07,triple,False,3,0,True
hrm-0345,hblk-girls-c,Female,2,GC-F2R08,triple,False,3,0,True
